Pablo;pabl.0o;帕布罗[pà bù luō],帕布羅[pà bù luō]
senpacienciĝi;pacien.sen0igxi;发脾气[fā pí qì],發脾氣[fā pí qì]
paciento;pacien1.0o;患者[huàn zhě]
paciento;pacien1.0o;病人[bìng rén]
paciento;pacien1.0o;病患[bìng huàn]
pacifismo;pacifi.0o;和平主义[hé píng zhǔ yì],和平主義[hé píng zhǔ yì]
pacifisto;pacifi1.0o;反战论者[fǎn zhàn lùn zhě],反戰論者[fǎn zhàn lùn zhě]
pacifisto;pacifi1.0o;和平主义者[hé píng zhǔ yì zhě],和平主義者[hé píng zhǔ yì zhě]
pacifisto;pacifi1.0o;不抵抗主义者[bù dǐ kàng zhǔ yì zhě],不抵抗主義者[bù dǐ kàng zhǔ yì zhě]
Pacifiko;pacifik.P0o;太平洋[Tài píng Yáng]
paĉulo;pacxul.0o;广藿香[guǎng huò xiāng],廣藿香[guǎng huò xiāng]
pado;pad.0o;小路[xiǎo lù]
pado;pad.0o;小径[xiǎo jìng],小徑[xiǎo jìng]
pado;pad.0o;小道[xiǎo dào]
pado;pad.0o;路径[lù jìng],路徑[lù jìng]
pado;pad.0o;蹊径[xī jìng],蹊徑[xī jìng]
Pado;pad1.0o.rivero;波河[Bō Hé]
padeli;padel.0i;划桨[huá jiǎng],划槳[huá jiǎng]
padeli;padel.0i;划[huá]
padelo;padel.0o;風帆[fēng fān],风帆[fēng fān]
padelo;padel.0o;叶片[yè piàn],葉片[yè piàn]
paeljo;paelj.0o;西班牙大鍋飯[xī bān yá dà guō fàn],西班牙大锅饭[xī bān yá dà guō fàn]
paeljo;paelj.0o;西班牙飯[xī bān yá fàn],西班牙饭[xī bān yá fàn]
paf;paf.0;轟[hōng],轰[hōng]
paf;paf.0;枪声[qiāng shēng],槍聲[qiāng shēng]
paf;paf.0;砰[pēng]
paf;paf.0;嘣[bēng]
pafaro;paf.0ado;排射[pái shè]
pafaro;paf.0ado;枪战[qiāng zhàn],槍戰[qiāng zhàn]
pafado;paf.0ado;枪战[qiāng zhàn],槍戰[qiāng zhàn]
pafado;paf.0ado;枪击[qiāng jī],槍擊[qiāng jī]
pafaro;;连发[lián fā],連發[lián fā]
pafaro;;礼炮[lǐ pào],禮炮[lǐ pào]
pafaĵo;paf.0ajxo;抛体[pāo tǐ],拋體[pāo tǐ]
pafaĵo;paf.0ajxo;抛射物[pāo shè wù],拋射物[pāo shè wù]
pafejo;paf.0ejo;靶场[bǎ chǎng],靶場[bǎ chǎng]
pafi;paf.0i;枪击[qiāng jī],槍擊[qiāng jī]
pafi;paf.0i;开枪[kāi qiāng],開槍[kāi qiāng]
pafi;paf.0i;发炮[fā pào],發炮[fā pào]
pafi;paf.0i;枪崩[qiāng bēng],槍崩[qiāng bēng]
pafilego;paf.0ilego;炮[pào]
pafilego;paf.0ilego;火炮[huǒ pào]
pafilego;paf.0ilego;大炮[dà pào],大砲[dà pào]
pafilego;paf.0ilego;炮[pào],砲[pào]
pafilkapo;paf.0ilkapo;一端粗的棍棒[yī duān cū de gùn bàng]
pafilkapo;paf.0ilkapo;枪托[qiāng tuō],槍託[qiāng tuō]
pafilkapo;paf.0ilkapo;塞[sè]
pafilkapo;paf.0ilkapo;烟头[yān tóu],煙頭[yān tóu]
pafilo;paf.0ilo.ARM;枪[qiāng],槍[qiāng]
pafilo;paf.0ilo.ARM;銃[chòng],铳[chòng]
pafilo;paf.0ilo.ARM;枪械[qiāng xiè],槍械[qiāng xiè]
pafilo;paf.0ilo.ARM;枪炮[qiāng pào],槍砲[qiāng pào]
pafilo;paf.0ilo.ARM;火器[huǒ qì]
pafilo;paf.0ilo.ARM;射击武器[shè jī wǔ qì],射擊武器[shè jī wǔ qì]
pafisto;paf.0isto;射手[shè shǒu]
pafisto;paf.0isto;射手座[shè shǒu zuò]
pafo;paf.0o;枪声[qiāng shēng],槍聲[qiāng shēng]
pafo;paf.0o;弹[dàn],彈[dàn]
pafiĝi;;中枪[zhòng qiāng],中槍[zhòng qiāng]
Pafisto;paf.P0isto;射手座[Shè shǒu zuò]
Pafisto;paf.P0isto;人馬座[Rén mǎ zuò],人马座[Rén mǎ zuò]
fingropafo;paf.fingro0o;弹指[tán zhǐ],彈指[tán zhǐ]
forpafi;paf.for0i;击毁[jī huǐ],擊毀[jī huǐ]
maŝinpafilo;paf.masxin0ilo;机枪[jī qiāng],機槍[jī qiāng]
maŝinpafilo;paf.masxin0ilo;机关枪[jī guān qiāng],機關槍[jī guān qiāng]
mortpafi;paf.mort0i;枪杀[qiāng shā],槍殺[qiāng shā]
mortpafi;paf.mort0i;斃[bì],毙[bì]
mortpafi;paf.mort0i;击毙[jí bì],擊斃[jí bì]
mortpafi;paf.mort0i;枪毙[qiāng bì],槍斃[qiāng bì]
mortpafi;paf.mort0i;射杀[shè shā],射殺[shè shā]
mortpafi;paf.mort0i;击毙[jī bì],擊斃[jī bì]
pulvopafilo;paf.pulvo0ilo;枪械[qiāng xiè],槍械[qiāng xiè]
pulvopafilo;paf.pulvo0ilo;火器[huǒ qì]
ŝrotpafilo;paf.sxrot0ilo;猎枪[liè qiāng],獵槍[liè qiāng]
Pafoso;pafos.0o;帕福斯[Pà fú sī]
pagejo;pag.0ejo;收費站[shōu fèi zhàn],收费站[shōu fèi zhàn]
pagejo;pag.0ejo;收銀台[shōu yín tái],收银台[shōu yín tái]
pagi;pag.0i;結賬[jié zhàng],结账[jié zhàng]
pagi;pag.0i;付[fù]
pagi;pag.0i;付給[fù gěi],付给[fù gěi]
pagi;pag.0i;出錢[chū qián],出钱[chū qián]
pagi;pag.0i;交錢[jiāo qián],交钱[jiāo qián]
pagi;pag.0i;付錢[fù qián],付钱[fù qián]
pagilo;pag.0ilo.EKON;支付方式[zhī fù fāng shì]
pagilo;pag.0ilo.EKON;支付手段[zhī fù shǒu duàn]
pago;pag.0o;支付[zhī fù]
pago;pag.0o;付款通知[fù kuǎn tōng zhī]
pago;pag.0o;在外部[zài wài bù]
pago;pag.0o;薪酬[xīn chóu]
alpago;pag.al0o;另付費[lìng fù fèi],另付费[lìng fù fèi]
antaŭpagi;pag.antaux0i;預付[yù fù],预付[yù fù]
depago;pag.de0o;預付款[yù fù kuǎn],预付款[yù fù kuǎn]
depago;pag.de0o;預支款[yù zhī kuǎn],预支款[yù zhī kuǎn]
depago;pag.de0o;部分支付[bù fen zhī fù]
kontraŭpage;pag.kontraux0e;付費[fù fèi],付费[fù fèi]
kontraŭpage;pag.kontraux0e;应负担[yìng fù dān],應負擔[yìng fù dān]
pripagi;pag.pri0i;已經付款了[yǐ jīng fù kuǎn liǎo],已经付款了[yǐ jīng fù kuǎn liǎo]
pripagi;pag.pri0i;交款[jiāo kuǎn]
punpagi;pag.pun0i;贖罪[shú zuì],赎罪[shú zuì]
punpago;pag.pun0o.ago;贖罪[shú zuì],赎罪[shú zuì]
punpago;pag.pun0o.monpuno;罚金[fá jīn],罰金[fá jīn]
punpago;pag.pun0o.monpuno;罚款[fá kuǎn],罰款[fá kuǎn]
repagi;pag.re0i.FIG;归还[guī huán],歸還[guī huán]
repagi;pag.re0i.FIG;还[huán],還[huán]
senpaga;pag.sen0a;免費[miǎn fèi],免费[miǎn fèi]
senpaga;pag.sen0a;花費[huā fèi],花费[huā fèi]
senpaga;pag.sen0a;无偿[wú cháng],無償[wú cháng]
senpaga;pag.sen0a;无代价[wú dài jià],無代價[wú dài jià]
transpago;pag.trans0o.EKON;銀行轉帳[yín háng zhuǎn zhàng],银行转帐[yín háng zhuǎn zhàng]
transpago;pag.trans0o.EKON;轉賬[zhuǎn zhàng],转账[zhuǎn zhàng]
transpago;pag.trans0o.EKON;轉賬[zhuǎn zhàng],转帐[zhuǎn zhàng]
transpago;pag.trans0o.EKON;匯單[huì dān],汇单[huì dān]
pagajo;pagaj.0o;桨[jiǎng],槳[jiǎng]
pagano;pagan.0o;异教徒[yì jiào tú],異教徒[yì jiào tú]
pagodo;pagod.0o;宝塔[bǎo tǎ],寶塔[bǎo tǎ]
pagro;pagr.0o;海鯉[hǎi lǐ],海鲤[hǎi lǐ]
pagumo;pagum.0o;果子狸[guǒ zi lí]
pagumo;pagum.0o;白鼻心[bái bí xīn]
paguro;pagur.0o;寄居蟹[jì jū xiè]
paĝo;pagx.0o;版[bǎn]
paĝo;pagx.0o;頁面[yè miàn],页面[yè miàn]
paĝo;pagx.0o;书页[shū yè],書頁[shū yè]
paĝo;pagx.0o;頁[yè],页[yè]
enpaĝigi;pagx.en0igi;排版[pái bǎn]
enpaĝigo;pagx.en0igo;版面[bǎn miàn]
enpaĝigo;pagx.en0igo;排版[pái bǎn]
flavaj paĝoj;pagx.flavaj0oj;黃頁[huáng yè],黄页[huáng yè]
hejmpaĝo;pagx.hejm0o;首頁[shǒu yè],首页[shǒu yè]
hejmpaĝo;pagx.hejm0o;主頁[zhǔ yè],主页[zhǔ yè]
retpaĝaro;pagx.ret0aro;網址[wǎng zhǐ],网址[wǎng zhǐ]
retpaĝaro;pagx.ret0aro;網頁[wǎng yè],网页[wǎng yè]
retpaĝo;pagx.ret0o;網頁[wǎng yè],网页[wǎng yè]
titolpaĝo;pagx.titol0o;扉頁[fēi yè],扉页[fēi yè]
titolpaĝo;pagx.titol0o;首頁[shǒu yè],首页[shǒu yè]
pajaco;pajac.0o;丑角[chǒu jué]
pajaco;pajac.0o;小丑[xiǎo chǒu]
pajlero;pajl.0ero;秸秆[jiē gǎng],秸稈[jiē gǎng]
pajlero;pajl.0ero;麥稈[mài gǎn],麦秆[mài gǎn]
pajlo;pajl.0o;刍[chú],芻[chú]
pajlo;pajl.0o;穀草[gǔ cǎo],谷草[gǔ cǎo]
pajlo;pajl.0o;秸秆[jiē gǎn],秸稈[jiē gǎn]
pajlo;pajl.0o;麥秸[mài jiē],麦秸[mài jiē]
pajloŝtopi;pajl.0osxtopi;补白光[bǔ bái guāng],補白光[bǔ bái guāng]
pajloŝtopi;pajl.0osxtopi;垫衬[diàn chèn],墊襯[diàn chèn]
pakaĵo;pak.0ajxo.bagagxo;行李[xíng li]
pakaĵo;pak.0ajxo.bagagxo;箱包[xiāng bāo]
pakaĵo;pak.0ajxo.bagagxo;旅行带[lǚ xíng dài],旅行帶[lǚ xíng dài]
pakaĵo;pak.0ajxo.bagagxo;皮箱[pí xiāng]
pakaĵo;pak.0ajxo.bagagxo;行李[xíng lǐ]
pakaĵo;pak.0ajxo.unupeco;包裹[bāo guǒ]
pakaĵo;pak.0ajxo.unupeco;包装[bāo zhuāng],包裝[bāo zhuāng]
pakaĵo;pak.0ajxo.unupeco;小包[xiǎo bāo]
pakaĵo;pak.0ajxo.unupeco;一小包[yì xiǎo bāo]
pakaĵo;pak.0ajxo.unupeco;小包裹[xiǎo bāo guǒ]
pakaĵo;pak.0ajxo.unupeco;一揽子计划[yī lǎn zǐ jì huà],一攬子計劃[yī lǎn zǐ jì huà]
pakaĵujo;pak.0ajxujo;后备箱[hòu bèi xiāng],後備箱[hòu bèi xiāng]
pakaĵujo;pak.0ajxujo;行李箱[xíng li xiāng]
paketo;pak.0eto;一小包[yì xiǎo bāo]
paketo;pak.0eto;小包[xiǎo bāo]
paketo;pak.0eto;小包裹[xiǎo bāo guǒ]
paki;pak.0i;包扎[bāo zā],包紮[bāo zā]
paki;pak.0i;封包[fēng bāo]
paki;pak.0i;拼凑[pīn còu],拼湊[pīn còu]
paki;pak.0i;攒聚[cuán jù],攢聚[cuán jù]
paki;pak.0i;打包[dǎ bāo]
paki;pak.0i;包起[bāo qǐ]
pako;pak.0o;包裹[bāo guǒ]
pako;pak.0o;一揽子计划[yī lǎn zǐ jì huà],一攬子計劃[yī lǎn zǐ jì huà]
pako;pak.0o;法律体系[fǎ lǜ tǐ xì],法律體系[fǎ lǜ tǐ xì]
pakumo;pak.0umo;包装[bāo zhuāng],包裝[bāo zhuāng]
pakumo;pak.0umo;填密[tián mì]
pakumo;pak.0umo;外包装[wài bāo zhuāng],外包裝[wài bāo zhuāng]
enpaki;pak.en0i;打包[dǎ bāo]
enpaki;pak.en0i;包起[bāo qǐ]
enpaki;pak.en0i;套封[tào fēng]
elpaki;pak.mal0i;开箱[kāi xiāng],開箱[kāi xiāng]
elpaki;pak.mal0i;打开包裹[dǎ kāi bāo guǒ],打開包裹[dǎ kāi bāo guǒ]
elpaki;pak.mal0i;拆包[chāi bāo]
elpaki;pak.mal0i;撕开包装[sī kāi bāo zhuāng],撕開包裝[sī kāi bāo zhuāng]
pakistanano;pakistan.0ano;巴基斯坦人[bā jī sī tǎn rén]
Pakistano;pakistan.P0o;巴基斯坦[Bā jī sī tǎn]
pakto;pakt.0o;公約[gōng yuē],公约[gōng yuē]
pala;pal.0a;苍白[cāng bái],蒼白[cāng bái]
pala;pal.0a;青白[qīng bái]
pala;pal.0a;苍白色[cāng bái sè],蒼白色[cāng bái sè]
pala;pal.0a;淡[dàn]
pala;pal.0a;灰白[huī bái]
pala;pal.0a;土色[tǔ sè]
pala;pal.0a;无生气[wú shēng qì],無生氣[wú shēng qì]
paligi;pal.0igi.FIG;衰减[shuāi jiǎn],衰減[shuāi jiǎn]
paligi;pal.0igi.FIG;削弱[xuē ruò]
paligi;pal.0igi.FIG;减薄[jiǎn bó],減薄[jiǎn bó]
paligi;pal.0igi.KOMUNE;惊吓[jīng xià],驚嚇[jīng xià]
paliĝi;pal.0igxi;色变[sè biàn],色變[sè biàn]
paliĝi;pal.0igxi;失色[shī sè]
paliĝi;pal.0igxi;发白[fā bái],發白[fā bái]
palaceto;palac.0eto;府[fǔ]
palaceto;palac.0eto;公館[gōng guǎn],公馆[gōng guǎn]
palaceto;palac.0eto;宅第[zhái dì]
palaceto;palac.0eto;厦[shà],廈[shà]
palaceto;palac.0eto;豪宅[háo zhái]
palaceto;palac.0eto;豪华别墅[háo huá bié shù],豪華別墅[háo huá bié shù]
palaceto;palac.0eto;府第[fǔ dì]
palaceto;palac.0eto;府邸[fǔ dǐ]
palaco;palac.0o;宫殿[gōng diàn],宮殿[gōng diàn]
palaco;palac.0o;宫[gōng],宮[gōng]
palaco;palac.0o;皇宫[huáng gōng],皇宮[huáng gōng]
palaco;palac.0o;王宫[wáng gōng],王宮[wáng gōng]
palaco;palac.0o;宫阙[gōng què],宮闕[gōng què]
palaco;palac.0o;宫廷[gōng tíng],宮廷[gōng tíng]
paladio;paladi.0o;鈀[bǎ],钯[bǎ]
palankeno;palank.0o;轎子[jiào zi],轿子[jiào zi]
palankeno;palank.0o;轎[jiào],轿[jiào]
palankeno;palank.0o;步輦[bù niǎn],步辇[bù niǎn]
palankeno;palank.0o;竹舆[zhú yú],竹輿[zhú yú]
palato;palat.0o;顎[è],颚[è]
palato;palat.0o;腭[è],齶[è]
palato;palat.0o;臄[jué]
palato;palat.0o;上牙膛[shàng yá táng]
postpalato;;軟齶[ruǎn è],软齶[ruǎn è]
Palaŭo;palaux.0o.GEOG;帛琉[Bó liú]
Palaŭo;palaux.0o.GEOG;帕劳[pà láo],帕勞[pà láo]
paledo;paled.0o;托盘[tuō pán],托盤[tuō pán]
paledo;paled.0o;栈板[zhàn bǎn],棧板[zhàn bǎn]
paledo;paled.0o;貨盤[huò pán],货盘[huò pán]
paledo;paled.0o;托板[tuō bǎn],託板[tuō bǎn]
paleoantropologo;paleoantropolog.0o;古生物学家[gǔ shēng wù xué jiā],古生物學家[gǔ shēng wù xué jiā]
paleoantropologiisto;;古生物学家[gǔ shēng wù xué jiā],古生物學家[gǔ shēng wù xué jiā]
paleoantropologio;paleoantropologi.0o;古人类学[gǔ rén lèi xué],古人類學[gǔ rén lèi xué]
paleografio;paleog.0o;古文字学[gǔ wén zì xué],古文字學[gǔ wén zì xué]
paleoklimatologio;paleoklimatologi.0o;古气候学[gǔ qì hòu xué],古氣候學[gǔ qì hòu xué]
paleontologiisto;paleon.0isto;古生物学家[gǔ shēng wù xué jiā],古生物學家[gǔ shēng wù xué jiā]
paleontologio;paleon.0o;古生物学[gǔ shēng wù xué],古生物學[gǔ shēng wù xué]
paleontologo;paleontolog.0o;古生物学家[gǔ shēng wù xué jiā],古生物學家[gǔ shēng wù xué jiā]
Palermo;palerm.0o.urbo;巴勒莫[Bā lè mò]
Palestino;palestin.0o;巴勒斯坦[Bā lè sī tǎn]
paletro;paletr.0o;調色板[tiáo sè bǎn],调色板[tiáo sè bǎn]
paletro;paletr.0o;托盘[tuō pán],托盤[tuō pán]
paliativo;paliat.0o.MED;安宁缓和医疗[ān níng huǎn hé yī liáo],安寧緩和醫療[ān níng huǎn hé yī liáo]
palindromo;palind.0o;回文[huí wén]
palinuro;palinu.0o;龍蝦[lóng xiā],龙虾[lóng xiā]
palisaro;palis.0aro;围篱[wéi lí],圍籬[wéi lí]
palisaro;palis.0aro;砦[zhài]
paliso;palis.0o;樴[zhí]
palisumi;palis.0umi;刺穿[cì chuān]
palisandro;palisa.0o;紅木[hóng mù],红木[hóng mù]
palmo;palm.0o;棕榈[zōng lú:],棕櫚[zōng lú:]
palmo;palm.0o;榈[lú:],櫚[lú:]
palmo;palm.0o;棕树[zōng shù],棕樹[zōng shù]
palmo;palm.0o;椰树[yé shù],椰樹[yé shù]
palmo;palm.0o;榈[lǘ],櫚[lǘ]
palmaĵo;;蕉扇[jiǎo shàn]
palmobranĉo;palm.0obrancxo;蕉扇[jiǎo shàn]
Palmofesto;palm.0ofesto;棕树主日[zōng shù zhǔ rì],棕樹主日[zōng shù zhǔ rì]
Palmofesto;palm.0ofesto;棕枝主日[zōng zhī zhǔ rì]
Palmofesto;palm.0ofesto;棕枝全日[zōng zhī quán rì]
palpado;palp.0ado;感知[gǎn zhī]
palpebla;palp.0ebla;摸得出[mō dé chū]
palpebla;palp.0ebla;可及[kě jí]
palpi;palp.0i;摸[mō]
palpi;palp.0i;指进[zhǐ jìn],指進[zhǐ jìn]
palpi;palp.0i;触碰[chù pèng],觸碰[chù pèng]
palpi;palp.0i;摸索[mō suo]
palpi;palp.0i;摸索着走[mō suo zhuó zǒu],摸索著走[mō suo zhuó zǒu]
palpi;palp.0i;用手摸索[yòng shǒu mō suo]
palpi;palp.0i;把弄[bǎ nòng]
palpi;palp.0i;有指[yǒu zhǐ]
palpilo;palp.0ilo;試探者[shì tàn zhě],试探者[shì tàn zhě]
palpebro;palpeb.0o.ANA;眼睑[yǎn jiǎn],眼瞼[yǎn jiǎn]
palpebro;palpeb.0o.ANA;眼皮[yǎn pí]
palpebro;palpeb.0o.ANA;睑[jiǎn],瞼[jiǎn]
palpebro;palpeb.0o.ANA;眼皮子[yǎn pí zi]
palpebrumi;palpeb.0umi;眨眼[zhǎ yǎn]
palpebrumi;palpeb.0umi;眯[mī],瞇[mī]
palpebrumi;palpeb.0umi;扑闪[pū shǎn],撲閃[pū shǎn]
palpebrumi;palpeb.0umi;眨[zhǎ]
palpebrumi;palpeb.0umi;眯[mǐ],瞇[mǐ]
palpitacio;palpitaci.0o;心悸[xīn jì]
palpitacio;palpitaci.0o;唈[yì]
palpitacio;palpitaci.0o;怔忡[zhēng chōng]
palto;palt.0o;大衣[dà yī]
duonpalto;palt.duon0o;袄[ǎo],襖[ǎo]
palto;;氅[chǎng]
paludismo;paludism.0o;摆子[bǎi zi],擺子[bǎi zi]
paludismo;paludism.0o;疟[nu:è],瘧[nu:è]
paludismo;paludism.0o;瘴[zhàng]
paludismo;paludism.0o;疟疾[nüè jí],瘧疾[nüè jí]
paludismo;paludism.0o;痁[diàn]
paludismo;paludism.0o;疟[nüè],瘧[nüè]
paludismo;paludism.0o;疟[yào],瘧[yào]
palumbo;palumb.0o;斑尾林鴿[bān wěi lín gē],斑尾林鸽[bān wěi lín gē]
Pamiro;pamir.0o.montaro;帕米尔高原[pà mǐ ěr gāo yuán],帕米爾高原[pà mǐ ěr gāo yuán]
pampelmusarbo;pampelmus.0arbo;柚[yòu]
pampelmuso;pampelmus.0o;文旦[wén dàn]
pampelmuso;pampelmus.0o;柚子[yòu zi]
pampelmuso;pampelmus.0o;椵[jiǎ]
panero;pan.0ero;面包渣[miàn bāo zhā],麵包渣[miàn bāo zhā]
panisto;pan.0isto;烘焙师[hōng bèi shī],烘焙師[hōng bèi shī]
ŝmirpano;pan.sxmir0o;黃油麵包[huáng yóu miàn bāo],黄油面包[huáng yóu miàn bāo]
ŝmirpano;pan.sxmir0o;三明治[sān míng zhì]
vivpano;pan.viv0o;生計[shēng jì],生计[shēng jì]
panaceo;panace.0o;万应灵丹[wàn yìng líng dān],萬應靈丹[wàn yìng líng dān]
panaceo;panace.0o;圣药[shèng yào],聖藥[shèng yào]
panaceo;panace.0o;包医百病的药方[bāo yī bǎi bìng de yào fāng],包醫百病的藥方[bāo yī bǎi bìng de yào fāng]
panaceo;panace.0o;万能药[wàn néng yào],萬能藥[wàn néng yào]
Panamo;panam.P0o;巴拿馬[Bā ná mǎ],巴拿马[Bā ná mǎ]
panaricio;panari.0o;甲床炎[jiǎ chuáng yán]
granda pando;pand.granda0o;大熊猫[dà xióng māo],大熊貓[dà xióng māo]
malgranda pando;pand.malgranda0o;紅熊貓[hóng xióng māo],红熊猫[hóng xióng māo]
pandemio;pandemi.0o;大流行[dà liú xíng]
pandemio;pandemi.0o;瘟疫[wēn yì]
pandemio;pandemi.0o;大流行病[dà liú xíng bìng]
pandiono;pandio.0o;雎[jū]
pandiono;pandio.0o;鶚[è],鹗[è]
paneo;pane.0o;故障[gù zhàng]
panei;;出毛病[chū máo bìng]
panegiri;panegi.0i;歌頌[gē sòng],歌颂[gē sòng]
panegiri;panegi.0i;咏赞[yǒng zàn],詠贊[yǒng zàn]
paneldiskuto;panel.0diskuto;合議[hé yì],合议[hé yì]
panelo;panel.0o;壁板[bì bǎn]
panelo;panel.0o;装上壁板[zhuāng shàng bì bǎn],裝上壁板[zhuāng shàng bì bǎn]
panelo;panel.0o;面板[miàn bǎn]
panelo;panel.0o;嵌板[qiàn bǎn]
kontrolpanelo;panel.kontrol0o;仪表盘[yí biǎo pán],儀表盤[yí biǎo pán]
kontrolpanelo;;面板[miàn bǎn]
regpanelo;panel.reg0o;仪表盘[yí biǎo pán],儀表盤[yí biǎo pán]
regpanelo;;面板[miàn bǎn]
Panĝabo;pangxab.0o;旁遮普[Páng zhē pǔ]
paniko;panik.0o;恐慌[kǒng huāng]
paniko;;怵惧[chù jù],怵懼[chù jù]
paniki;;惊惶失措[jīng huáng shī cuò],驚惶失措[jīng huáng shī cuò]
pankreato;pankreat.0o;胰腺[yí xiàn]
pankreato;pankreat.0o;胰[yí]
pankreato;pankreat.0o;膵[cuì]
pankreato;pankreat.0o;胰脏[yí zàng],胰臟[yí zàng]
panoptiko;panoptik.0o;蜡像馆[là xiàng guǎn],蠟像館[là xiàng guǎn]
panoramo;panora.0o;广角[guǎng jiǎo],廣角[guǎng jiǎo]
panoramo;panora.0o;全景[quán jǐng]
panoramo;panora.0o;全豹[quán bào]
panoramo;panora.0o;全貌[quán mào]
panoramo;panora.0o;全景图片[quán jǐng tú piàn],全景圖片[quán jǐng tú piàn]
pansaĵo;;创口贴[chuāng kǒu tiē],創口貼[chuāng kǒu tiē]
pansaĵo;;止血貼[zhǐ xuè tiē],止血贴[zhǐ xuè tiē]
pantaloneto;pantal.0eto;衩[chǎ]
pantaloneto;pantal.0eto;短裤[duǎn kù],短褲[duǎn kù]
pantalono;pantal.0o;裤[kù],褲[kù]
pantalono;pantal.0o;裤子[kù zi],褲子[kù zi]
pantalono;pantal.0o;長褲[cháng kù],长裤[cháng kù]
sakpantalono;pantal.sak0o;吊裆裤[diào dāng kù],吊襠褲[diào dāng kù]
