caro;car.0o;沙皇[shā huáng]
sencela;cel.sen0a.KOMUNE;毫无目的[háo wú mù dì]
sencela;cel.sen0a.KOMUNE;沒意思[méi yì si]
sencela;cel.sen0a.KOMUNE;漫无目的[màn wú mù dì]
sencela;cel.sen0a.KOMUNE;沒有目標[méi yǒu mù biāo]
sencela;cel.sen0a.KOMUNE;无计划[wú jì huà]
sencela;cel.sen0a.KOMUNE;盲目[máng mù]
vivcelo;cel.viv0o.KOMUNE;传道部[chuán dào bù]
celadono;celadon.0o;青瓷[qīng cí]
celakanto;celakant.0o.ZOO;腔棘魚[qiāng jí yú]
celastracoj;celastr.0oj;卫矛目[wèi máo mù]
celebri;celebr.0i.MOR;紀年[jì nián]
celebri;celebr.0i.MOR;举办庆典[jǔ bàn qìng diǎn]
celerio;celeri.0o;块根芹[kuài gēn qín]
Celesteno;celesten.0o.NOM;雷定五世[léi dìng wǔ shì]
Celesteno;celesten.0o.NOM;塞莱斯廷[sāi lái sī tíng]
celibato;celibat.0o.KRI;独身主义[dú shēn zhǔ yì]
celuloido;celulo.0o.KEM;假象牙[jiǎ xiàng yá]
celuloido;celulo.0o.KEM;賽璐珞[sài lù luò]
celulozo;celulo1.0o;纖維素[xiān wéi sù]
cementi;cement.0i;灌水泥[guàn shuǐ ní]
cendo;cend.0o.EKON;欧分[ōu fèn]
cenobito;cenobit.0o;修道士[xiū dào shì]
cenotafo;cenota.0o.ARKI;和平紀念碑[hé píng jì niàn bēi]
censo;cens.0o.popolnombrado;人口調查[rén kǒu diào chá]
censo;cens.0o.popolnombrado;人口普查[rén kǒu pǔ chá]
centono;cent.0ono;厘[lí]
centaŭro;centau.0o.MIT;人首馬身的怪物[rén shǒu mǎ shēn de guài wù]
centaŭreo;centau1.0o;矢車菊屬[shǐ chē jú shǔ]
centimo;centim.0o;生丁[shēng dīng]
centimetro;centim1.0o;釐米[lí mǐ]
butikcentro;;購物中心[gòu wù zhōng xīn]
butikcentro;;商店区[shāng diàn qū]
discentra;;偏心[piān xīn]
discentra;;古怪[gǔ guài]
discentra;;非传统[fēi chuán tǒng]
discentreco;centr.dis0eco.koniko;古怪的行为[gǔ guài de xíng wéi]
discentreco;centr.dis0eco.koniko;离心率[lí xīn lü]
discentreco;centr.dis0eco.koniko;偏心率[piān xīn shuài]
discentreco;centr.dis0eco.koniko;性情古怪[xìng qing gǔ guài]
discentreco;centr.dis0eco.koniko;怪癖[guài pǐ]
discentreco;centr.dis0eco.koniko;古怪[gǔ guài]
samcentra;centr.sam0a;同心[tóng xīn]
centralizi;centra.0i;統攬[tǒng lǎn]
centralo;centra1.0o.oficejo;中枢[zhōng shū]
centralo;centra1.0o.ELE;发电站[fā diàn zhàn]
centralo;centra1.0o.TEL;总机[zǒng jī]
akvocentralo;centra1.akvo0o;水电站[shuǐ diàn zhàn]
akvocentralo;centra1.akvo0o;水力发电厂[shuǐ lì fā diàn chǎng]
akvocentralo;centra1.akvo0o;水力发电站[shuǐ lì fā diàn zhàn]
atomcentralo;centra1.atom0o.ELE;核电站[hé diàn zhàn]
atomcentralo;centra1.atom0o.ELE;核电厂[hé diàn chǎng]
atomcentralo;centra1.atom0o.ELE;核发电厂[hé fā diàn chǎng]
atomcentralo;centra1.atom0o.ELE;核能发电站[hé néng fā diàn zhàn]
elektrocentralo;centra1.elektro0o.ELE;发电站[fā diàn zhàn]
karbocentralo;centra1.karbo0o.ELE;火力发电[huǒ lì fā diàn]
ŝaltcentralo;centra1.sxalt0o;控制中心[kòng zhì zhōng xīn]
varmocentralo;centra1.varmo0o;热电站[rè diàn zhàn]
centrifuga;centri.0a.FIZ;离心[lí xīn]
centrifuga;centri.0a.FIZ;离心式[lí xīn shì]
centrifugilo;;离心分离机[lí xīn fēn lí jī]
centripeta;centri1.0a.BOT;求中[qiú zhòng]
centripeta;centri1.0a.BOT;向心[xiàng xīn]
centripeta;centri1.0a.BOT;向中[xiàng zhòng]
centripeta;centri1.0a.BOT;向心性[xiàng xīn xìng]
centuriestro;centuri.0estro;百夫長[bǎi fū zhǎng]
cenzuristo;cenzur.0isto;批評家[pī píng jiā]
cenzuristo;cenzur.0isto;台谏[tái jiàn]
cenzuristo;cenzur.0isto;臺官[tái guān]
cepo;cep.0o;洋葱[yáng cōng]
cepo;cep.0o;球葱[qiú cōng]
cerambiko;cerambik.0o.ZOO;天牛[tiān niú]
ceramikaĵo;cerami.0ajxo;陶[táo]
ceramikaĵo;cerami.0ajxo;陶瓷[táo cí]
ceramikaĵo;cerami.0ajxo;陶器[táo qì]
ceramikisto;;陶器制造者[táo qì zhì zào zhē]
ceramikisto;;陶艺家[táo yì jiā]
ceramikisto;;制陶工人[zhì táo gōng rén]
ceramikisto;cerami.0isto.VAZ;陶工[táo gōng]
ceramiko;;匋[táo]
ceramiko;;陶[táo]
ŝtonceramiko;cerami.sxton0o;炻器[shí qì]
cerbeto;cerb.0eto;小脑[xiǎo nǎo]
cerbo;cerb.0o.ANA;脑袋[nǎo dai]
cerbo;cerb.0o.ANA;脑子[nǎo zi]
cerbo;cerb.0o.ANA;洗脑[xǐ nǎo]
cerbo;cerb.0o.ANA;脑髓[nǎo suǐ]
cerbujo;cerb.0ujo;顱[lú]
cerbujo;cerb.0ujo;顱骨[lú gǔ]
cerbujo;cerb.0ujo;头骨[tóu gǔ]
cerbumi;cerb.0umi;約摸[yuē mō]
ostocerbo;cerb.osto0o;髓骨[suǐ gǔ]
ostocerbo;cerb.osto0o;髓質[suǐ zhí]
sencerbulo;;彻底的驴[chè dǐ de lü]
sencerbulo;;万全白痴[wàn quán bái chī]
Cerbero;cerber.0o.MIT;狴[bì]
cerciso;cercis.0o.BOT;紫荆[zǐ jīng]
cerealo;cereal.0o.AGR;麥[mài]
cerebelo;cerebe.0o;小脑[xiǎo nǎo]
cerefolio;cerefo.0o;細葉芹[xì yè qín]
ceremonia;ceremo.0a.MOR;礼节[lǐ jié]
ceremonia;ceremo.0a.MOR;仪式上[yí shì shàng]
ceremonia;ceremo.0a.MOR;講究禮節[jiǎng jiu lǐ jié]
ceremonia;ceremo.0a.MOR;守礼[shǒu lǐ]
ceremonia;ceremo.0a.MOR;礼仪[lǐ yí]
ceremoniestro;ceremo.0estro.kortega;司仪[sī yí]
ceremoniestro;ceremo.0estro.kortega;節目主持人[jié mù zhǔ chí rén]
ceremonio;ceremo.0o.solena;仪式[yí shì]
ceremonio;ceremo.0o.solena;礼仪[lǐ yí]
ceremonio;ceremo.0o.solena;典礼[diǎn lǐ]
senceremonia;ceremo.sen0a;不勉強[bù miǎn qiǎng]
senceremonia;ceremo.sen0a;逍遙自在[xiāo yáo zì zài]
senceremonia;ceremo.sen0a;无拘束[wú jū shù]
senceremonia;ceremo.sen0a;豪爽[háo shuǎng]
Cereso;ceres.0o;穀神星[gǔ shén xīng]
cerio;ceri.0o;鈰[shì]
cerkopiteko;cerkop.0o;海猫[hǎi māo]
cerkopiteko;cerkop.0o;長尾猴屬[cháng wěi hóu shǔ]
cerkopitekedoj;cerkop1.0oj;海猫[hǎi māo]
certa;cert.0a;一定[yī dìng]
certa;cert.0a;必[bì]
certa;cert.0a;确实[què shí]
certa;cert.0a;安全地[ān quán de]
certa;cert.0a;安全可靠[ān quán kě kào]
certa;cert.0a;安心地[ān xīn de]
certe;cert.0e;一定[yī dìng]
certeco;cert.0eco;把握[bǎ wò]
certeco;cert.0eco;安全感[ān quán gǎn]
certigi;cert.0igi;确保[què bǎo]
certigi;cert.0igi;把关[bǎ guān]
malcerta;cert.mal0a;茫然[máng rán]
malcerta;cert.mal0a;惙[chuò]
malcerta;cert.mal0a;未必[wèi bì]
malcerta;cert.mal0a;不一定[bù yī dìng]
cervo;cerv.0o;牡鹿[mǔ lù]
ruĝa cervo;cerv.rugxa0o;馬鹿[mǎ lù]
cervedoj;cerved.0oj;鹿科[lù kē]
cetacoj;cetac.0oj;鯨目[jīng mù]
cetera;ceter.0a;餘[yú]
cetera;ceter.0a;其余[qí yú]
cetere;ceter.0e;順便提一下[shùn biàn tí yī xià]
cetere;ceter.0e;順便說一句[shùn biàn shuō yī jù]
cetere;ceter.0e;順便問[shùn biàn wèn]
cetere;ceter.0e;对了[duì le]
cetero;ceter.0o;餘[yú]
cetero;ceter.0o;余留[yú liú]
cetero;ceter.0o;其余[qí yú]
kaj cetere;ceter.kaj_0e;等样[děng yàng]
Cezaro;cezar.0o;凯撒[kǎi sǎ]
Cezareo;cezare.0o;該撒利亞[gāi sǎ lì yà]
ciumi;ci.0umi;以你來相稱呼[yǐ nǐ lái xiāng chēng hū]
ciano;cian.0o.GAS;氰[qíng]
cibetkato;cibet.0kato;果子狸[guó zǐ māo]
cibetkato;cibet.0kato;灵猫[líng māo]
cibetkato;cibet.0kato;麝猫[shè māo]
cico;cic.0o;乳晕[rǔ yūn]
cico;cic.0o;乳头[rǔ tóu]
cicero;cicer.0o;西塞罗[xī sài luó]
cidonio;cidoni.0o;桲[bó]
cidonio;cidoni.0o;一种蔷薇科植物[yī zhǒng qiáng wéi kē zhí wù]
cidro;cidr.0o.KUI;苹果酒[píng guǒ jiǔ]
cifera;cifer.0a;数字上[shù zì shàng]
cifera;cifer.0a;用数字表示[yòng shù zì biǎo shì]
cifera;cifer.0a;数词[shù cí]
cifereca;cifer.0eca;数字式[shù zì shì]
cifereca;cifer.0eca;数码[shù mǎ]
ciferecigi;cifer.0ecigi;数码化[shù mǎ huà]
cifero;cifer.0o.MAT;位数[wèi shù]
cifero;cifer.0o.MAT;码字[mǎ zì]
cigano;cigan.0o;吉普賽人[jí pǔ sài rén]
cigano;cigan.0o;吉卜賽人[jí bǔ sài rén]
cigano;cigan.0o;吉普賽[jí pǔ sài]
cigano;cigan.0o;茨冈人[cí gāng rén]
cigaringo;cigar.0ingo;烟嘴儿[yān zuǐ ér]
cigaro;cigar.0o;雪茄[xuě jiā]
cigaro;cigar.0o;雪茄烟[xuě jiā yān]
cigarujo;cigar.0ujo;雪茄盒[xuě jiā hé]
cigaredo;cigare.0o;卷烟[juǎn yān]
cigaredo;cigare.0o;烟卷[yān juǎn]
cigaredo;cigare.0o;菸[yān]
cigaredo;cigare.0o;紙煙[zhǐ yān]
cigaredo;cigare.0o;香烟[xiāng yān]
cigaredo;cigare.0o;烟[yān]
cigaredo;cigare.0o;烟卷儿[yān juǎn r]
cigno;cign.0o.ZOO;鵠[gǔ]
cikado;cikad.0o;蝉娟[chán juān]
cikado;cikad.0o;蜩[tiáo]
cikado;cikad.0o;知了[zhī liǎo]
cikado;cikad.0o;蝉[chán]
cikado;cikad.0o;唧鳥[jì niao]
cikatro;cikatr.0o;疤拉[bā la]
cikla;;循环[xún huán]
cikla;;生理節奏[shēng lǐ jié zòu]
ciklo;cikl.0o;循环[xún huán]
ciklo;cikl.0o;周[zhōu]
ciklo;cikl.0o;周期[zhōu qī]
ciklo;;循环[xún huán]
ciklameno;ciklam.0o;仙客來[xiān kè lái]
ciklameno;ciklam.0o;阿尔法粒子[ā ěr fà lì zǐ]
ciklono;ciklon.0o;热带低气压[rè dài dī qì yā]
kontraŭciklono;ciklon.kontraux0o;反气旋[fǎn qì xuán]
ciklopa;ciklop.0a.MIT;乱石堆[luàn shí duī]
ciklopo;ciklop.0o;独眼巨人[dú yǎn jù rén]
cikonio;cikoni.0o;鸛[guàn]
cikoniedoj;cikoni1.0oj;鸛科[guàn kē]
cikorio;cikori.0o;菊苣[jú jù]
cilio;cili.0o;纖毛[xiān máo]
cilindro;cilind.0o;气缸[qì gāng]
cilindro;cilind.0o;錫林[xī lín]
cilindro;cilind.0o;滚筒[gǔn tǒng]
cilindro;cilind.0o;机筒[jī tǒng]
cimo;cim.0o.hemiptero;壁虱[bì shī]
cimo;cim.0o.hemiptero;窃听器[qiè tīng qì]
cimo;cim.0o.hemiptero;臭虫[chòu chóng]
cimo;cim.0o.KOMP;紕繆[pī miù]
cimbalo;cimbal.0o;击钹[jī bó]
cinabro;cinabr.0o;赤色硫化水銀[chì sè liú huà shuǐ yín]
cinabro;cinabr.0o;丹粉[dān fěn]
cinabro;cinabr.0o;朱砂[zhū shā]
cinamo;cinam.0o;肉桂[ròu guì]
cinamo;cinam.0o;肉桂紅[ròu guì hóng]
cinamo;cinam.0o;肉桂色[ròu guì sè]
cinamo;cinam.0o;肉桂树[ròu guì shù]
cindrujo;cindr.0ujo.tabaka;烟灰缸[yān huī gāng]
cindrulino;cindr.0ulino;灰姑娘[huī gū niáng]
cinika;cinik.0a.KOMUNE;譏誚[jī qiào]
cinika;cinik.0a.KOMUNE;玩世不恭[wàn shì bù gōng]
cinika;cinik.0a.KOMUNE;玩世不恭的[wàn shì bù gōng de]
cinika;cinik.0a.KOMUNE;挖苦[wā ku]
cinikismo;cinik.0ismo.KOMUNE;犬儒[quǎn rú]
cinikismo;cinik.0ismo.KOMUNE;压世主义[yā shì zhǔ yì]
cinikismo;cinik.0ismo.KOMUNE;犬儒主义[quǎn rú zhǔ yì]
cinikismo;cinik.0ismo.KOMUNE;犬儒派[quǎn rú pài]
cinikismo;cinik.0ismo.KOMUNE;犬儒学派[quǎn rú xué pài]
cionismo;cion.0ismo;錫安主義[xí ān zhǔ yì]
cionismo;cion.0ismo;犹太复国主义[yóu tài fù guó zhǔ yì]
ciperacoj;ciper.0oj;莎草科[suō cǎo kē]
ciperacoj;ciper.0oj;茢[liè]
Ciono;cion.C0o;基督教会[jī dū jiào huì]
Ciono;cion.C0o;錫安[xī ān]
Ciono;cion.C0o;錫安[xí ān]
cipero;ciper1.0o;莎草科[suō cǎo kē]
ciprino;ciprin.0o;鯉[lǐ]
ciprinoformaj;ciprin.0oformaj;鯉形目[lǐ xíng mù]
ciprinedoj;ciprin1.0oj;鯉科[lǐ kē]
Cirilo;ciril.0o;西裡爾[xī lǐ ěr]
cirkistaro;cirk.0istaro;馬戲團[mǎ xì tuán]
cirko;cirk.0o;馬戲[mǎ xì]
cirkelo;cirkel.0o;圆规[yuán guī]
cirklego;cirkl.0ego;大圆线[dà yuán xiàn]
ĉefcirklo;cirkl.cxef0o;大圆线[dà yuán xiàn]
eŭlera cirklo;cirkl.euxlera0o;九点圆[jiǔ diǎn yuán]
kurbecocirklo;cirkl.kurbeco0o;密切平面[mì qiè píng miàn]
trafikcirklo;cirkl.trafik0o;圆环[yuán huán]
trafikcirklo;cirkl.trafik0o;环岛[huán dǎo]
trafikcirklo;cirkl.trafik0o;环形交叉路口[huán xíng jiāo chā lù kǒu]
trafikcirklo;cirkl.trafik0o;迴旋处[huí xuán chù]
cirkonferenco;cirkon.0o;圈子的線[quān zi de xiàn]
cirkonstanco;cirkon1.0o;情境[qíng jìng]
cirkonstanco;cirkon1.0o;时运[shí yùn]
cirkulado;cirkul.0ado;流通[liú tōng]
sangocirkulado;cirkul.sango0ado;血液循环[xiě yè xún huán]
sangocirkulado;cirkul.sango0ado;循环系统[xún huán xì tǒng]
cirkvito;cirkvi.0o.ELEKTR;开关电路[kāi guān diàn lù]
cirkvito;cirkvi.0o.ELEKTR;电子电路[diàn zǐ diàn lù]
integra cirkvito;cirkvi.integra_0o;码子[mǎ zǐ]
integra cirkvito;cirkvi.integra_0o;木片[mù piàn]
integra cirkvito;cirkvi.integra_0o;切成小片[qiē chéng xiǎo piàn]
integra cirkvito;cirkvi.integra_0o;积体电路[jī tǐ diàn lù]
integra cirkvito;cirkvi.integra_0o;集成电路[jí chéng diàn lù]
cirozo;ciroz.0o;肝硬化[gān yìng huà]
cisterno;cister.0o.AKV;水塔[shuǐ tǎ]
cisterno;cister.0o.AKV;蓄水池[xù shuǐ chí]
cisterno;cister.0o.AKV;池子[chí zi]
cisterno;cister.0o.AKV;大水箱[dà shuǐ xiāng]
cisterno;cister.0o.AKV;大貯水器[dài zhǔ shuǐ qì]
citaĵo;cit.0ajxo;引語[yǐn yǔ]
citaĵo;cit.0ajxo;引用句[yǐn yòng jù]
citaĵo;cit.0ajxo;名句[míng jù]
citaĵo;cit.0ajxo;引文[yǐn wén]
citaĵo;cit.0ajxo;語錄[yǔ lù]
citi;cit.0i.ripeti;引用[yǐn yòng]
citi;cit.0i.ripeti;引述[yǐn shù]
citi;cit.0i.mencii;援引[yuán yǐn]
citi;cit.0i.mencii;援[yuán]
citilo;cit.0ilo;书名号[shū míng hào]
citilo;cit.0ilo;引号[yǐn hào]
citadelo;citade.0o;根据地[gēn jù dì]
citaro;citar.0o;裡拉琴[lǐ lā qín]
citoplasmo;citoplasm.0o;細胞質[xì bāo zhí]
citosolo;citosol.0o;原生質[yuán shēng zhí]
citozino;citozin.0o;胞嘧啶[bāo mì dìng]
citro;citr.0o.MUZ;扁琴[piān qín]
citrono;citron.0o;檬[méng]
citrono;citron.0o;柠[níng]
citrono;citron.0o;香橼[xiāng yuán]
citrono;citron.0o;柠檬[níng méng]
citruso;citrus.0o;柑桔类水果[gān jú lèi shuǐ guǒ]
citruso;citrus.0o;柑橘[gān jú]
civila;civil.0a.JUR;私家[sī jiā]
civilulo;civil.0ulo;文职[wén zhí]
civilulo;civil.0ulo;文职人员[wén zhí rén yuán]
civilulo;civil.0ulo;文职工作[wén zhí gōng zuò]
civilizado;civili.0ado;文明[wén míng]
civilizado;civili.0ado;人类文明[rén lèi wén míng]
civilizi;civili.0i;文明化[wén míng huà]
civilizo;civili.0o;文明[wén míng]
civitanigi;civit.0anigi;使入国籍[shǐ rù guó jí]
civitano;civit.0ano;国民[guó mín]
civitano;civit.0ano;公民[gōng mín]
civitano;civit.0ano;提供担保者[tí gōng dān bǎo zhě]
civito;civit.0o.urbo;城市州[chéng shì zhōu]
civito;civit.0o.urbo;城邦[chéng bāng]
mondcivitano;civit.mond0ano;世界主义者[shì jiè zhǔ yì zhě]
mondcivitano;civit.mond0ano;四海为家的人[sì hǎi wéi jiā de rén]
cizeli;cizel.0i.BELA;压花[yā huā]
colo;col.0o;英寸[yīng cùn]
cunamo;cunam.0o;海啸[hǎi xiào]
ĉabrako;cxabra.0;鞯[jiān]
Ĉado;cxad.CX0o.GEOG;乍得[zhà dé]
Ĉado;cxad.CX0o.GEOG;乍得共和国[zhà dé gòng hé guó]
Ĉado;cxad.CX0o.lago;乍得湖[zhà dé hú]
ĉagrena;cxagre.0a;脑人[nǎo rén]
ĉagrena;cxagre.0a;着急地[zháo jí de]
ĉagrena;cxagre.0a;令人不快[lìng rén bù kuài]
ĉagrena;cxagre.0a;恼火[nǎo huǒ]
ĉagreni;cxagre.0i.per_kontrauxstaro;搅扰[jiǎo rǎo]
ĉagreni;cxagre.0i.per_kontrauxstaro;愀[qiǎo]
ĉagreni;cxagre.0i.per_kontrauxstaro;心事[xīn shi]
ĉagreni;cxagre.0i.per_kontrauxstaro;使烦恼[shǐ fán nǎo]
ĉagreniĝi;;生气[shēng qì]
ĉagreniĝi;;着急[zháo jí]
ĉagreniĝi;;气[qì]
ĉagreno;cxagre.0o;討債鬼[tǎo zhài guǐ]
ĉagreno;cxagre.0o;恼火[nǎo huǒ]
ĉagreno;cxagre.0o;漏[lòu]
ĉajoto;cxajot.0o;佛手瓜[fó shǒu guā]
ĉakro;cxakr.0o;查克拉[chá kè lā]
ĉamo;cxam.0o;羚羊[líng yáng]
ĉamo;cxam.0o;臆羚[yì líng]
ĉambelano;cxambe.0o.KOMUNE;內臣[nèi chén]
ĉambelano;cxambe.0o.KOMUNE;侍从官[shì cóng guān]
ĉambelano;cxambe.0o.KOMUNE;宫女[gōng nǚ]
ĉambristino;cxambr.0istino;客厅女仆[kè tīng nǚ pú]
ĉambro;cxambr.0o.doma;斋[zhāi]
ĉambro;xambr.0o.doma;房間[fáng jiān]
banĉambro;cxambr.ban0o;浴室[yù shì]
banĉambro;cxambr.ban0o;卫生间[wèi shēng jiān]
banĉambro;cxambr.ban0o;洗澡間[xǐ zǎo jiān]
dormoĉambro;cxambr.dormo0o;睡房[shuì fáng]
dormoĉambro;cxambr.dormo0o;卧房[wò fáng]
dormoĉambro;cxambr.dormo0o;卧室[wò shì]
dormoĉambro;cxambr.dormo0o;眠[mián]
dormoĉambro;cxambr.dormo0o;睡[shuì]
klasĉambro;cxambr.klas0o;教室[jiào shì]
klasĉambro;cxambr.klas0o;課堂[kè táng]
klasĉambro;cxambr.klas0o;講堂[jiǎng táng]
komerca ĉambro;cxambr.komerca0o;商会[shāng huì]
komerca ĉambro;cxambr.komerca0o;通商公所[tōng shāng gōng suǒ]
komerca ĉambro;cxambr.komerca0o;工商会[gōng shāng huì]
lavĉambro;cxambr.lav0o;盥洗室[guàn xǐ shì]
lavĉambro;cxambr.lav0o;洗手間[xǐ shǒu jiān]
manĝoĉambro;cxambr.mangxo0o;飯廳[fàn tīng]
maŝinĉambro;cxambr.masxin0o;机房[jī fáng]
maŝinĉambro;cxambr.masxin0o;輪機室[lún jī shì]
maŝinĉambro;cxambr.masxin0o;动力间[dòng lì jiān]
skriboĉambro;cxambr.skribo0o;打字室[dǎ zì shì]
vivoĉambro;cxambr.vivo0o;起居室[qǐ jū shì]
vivoĉambro;cxambr.vivo0o;庭房[tíng fáng]
vivoĉambro;cxambr.vivo0o;客厅[kè tīng]
ĉampano;cxampa.0o;香槟酒[xiāng bīn jiǔ]
ĉampano;cxampa.0o;香槟[xiāng bīn]
ĉampiono;cxampi.0o.porbatalanto;先驅[xiān qū]
ĉampinjono;cxampinjon.0o;木質素[mù zhì sù]
ĉampinjono;cxampinjon.0o;菇[gū]
ĉampinjono;cxampinjon.0o;蘑[mó]
ĉampinjono;cxampinjon.0o;蘑菰[mó gū]
ĉampinjono;cxampinjon.0o;食用香草[shí yòng xiāng cǎo]
ĉampinjono;cxampinjon.0o;双孢菇[shuāng bāo gū]
ĉampinjono;cxampinjon.0o;菰[gū]
ĉampinjono;cxampinjon.0o;伞菌[sǎn jūn]
ĉanti;cxant.0i;咏赞[yǒng zàn]
ĉanto;cxant.0o;白口[bái kǒu]
ĉanto;cxant.0o;声腔[shēng qiāng]
ĉantaĝi;cxanta.0i;訛詐[é zhà]
ĉantaĝo;cxanta.0o;勒索罪[lè suǒ zuì]
ĉantaĝo;cxanta.0o;敲詐[qiāo zhà]
ĉantaĝo;cxanta.0o;勒索[lè suǒ]
ĉantaĝo;cxanta.0o;黑信[hēi xìn]
ĉantaĝisto;cxanta.0isto;勒索者[lè suǒ zhě]
ĉapo;cxap.0o.TEKS;羽冠[yǔ guān]
ĉapo;cxap.0o.TEKS;西瓜皮[xī guā pí]
ĉapo;cxap.0o.TEK;保护盖[bǎo hù gài]
ĉapo;cxap.0o.TEK;保险罩[bǎo xiǎn zhào]
ĉapo;cxap.0o.TEK;帽[mào]
vaska ĉapo;cxap.vaska0o;貝雷帽[bèi léi mào]
ĉapelisto;cxapel.0isto;妇女用帽店[fù nǚ yòng mào diàn]
ĉapelisto;cxapel.0isto;帽商[mào shāng]
ĉapelisto;cxapel.0isto;女帽匠[nǚ mào jiàng]
ĉapelisto;cxapel.0isto;女帽商[nǚ mào shāng]
ĉapelisto;cxapel.0isto;制帽人[zhì mào rén]
bulĉapelo;cxapel.bul0o;圆顶硬礼帽[yuán dǐng yìng lǐ mào]
cilindroĉapelo;cxapel.cilindro0o;大礼帽[dà lǐ mào]
ĉapitro;cxapit.0o;章節[zhāng jié]
ĉar;cxar.0;冲着[chōng zhuó]
ĉar;cxar.0;归之于[guī zhī yú]
ĉar;cxar.0;由于[yóu yú]
ĉar;cxar.0;因着[yīn zhuó]
ĉaristo;cxar1.0isto;运货马车夫[yùn huò mǎ chē fū]
ĉaristo;cxar1.0isto;馬車伕[mǎ chē fu]
puŝĉaro;cxar1.0umo;手推車[shǒu tuī chē]
puŝĉaro;cxar1.0umo;小車[xiǎo chē]
aĉetĉareto;cxar1.acxet0eto;推車[tuī chē]
aĉetĉareto;cxar1.acxet0eto;購物車[gòu wù chē]
batalĉaro;cxar1.batal0o.MIL;兽力车[shòu lì chē]
beboĉareto;cxar1.bebo0eto.HEJM;童車[tóng chē]
beboĉareto;cxar1.bebo0eto.HEJM;娃娃車[wá wa chē]
beboĉareto;cxar1.bebo0eto.HEJM;婴儿车[yīng ér chē]
ĉevalĉaro;cxar1.cxeval0o;乗[shèng]
ĉevalĉaro;cxar1.cxeval0o;乘[shèng]
kromĉaro;cxar1.krom0o;倅車[cuì jū]
levĉaro;cxar1.lev0o;叉車[chā chē]
levĉaro;cxar1.lev0o;工业搬运车辆[gōng yè bān yùn chē liàng]
levĉaro;cxar1.lev0o;堆高机[duī gāo jī]
pakaĵoĉareto;cxar1.pakajxo0eto;行李車[xíng li chē]
ĉarlatanaĵo;cxarla.0ajxo;庸医[yōng yī]
ĉarlatanaĵo;cxarla.0ajxo;江湖騙術[jiāng hú piàn shù]
ĉarlatanaĵo;cxarla.0ajxo;騙子行為[piàn zi xíng wéi]
ĉarlatani;cxarla.0i;撞騙[zhuàng piàn]
ĉarlatani;cxarla.0i;誆[kuāng]
ĉarma;cxarm.0a;迷人[mí rén]
ĉarma;cxarm.0a;着迷[zháo mí]
ĉarma;cxarm.0a;妖[yāo]
ĉarma;cxarm.0a;可愛的[kě ài de]
ĉarmo;cxarm.0o;風韻[fēng yùn]
ĉarniro;cxarni.0o.TEK;鉸鏈[jiǎo liàn]
ĉarniro;cxarni.0o.TEK;荷叶[hé yè]
ĉarpentaĵo;cxarpe.0ajxo.KON;桁架[héng jià]
ĉarpenti;cxarpe.0i;用木材支撐[yòng mù cái zhī cheng]
ĉarpenti;cxarpe.0i;有树木[yǒu shù mù]
ĉarpenti;cxarpe.0i;做木匠活[zuò mù jiàng huó]
ĉarpenti;cxarpe.0i;七拼八凑[qī pīn bā còu]
ĉarpenti;cxarpe.0i;木造[mù zào]
ĉarpentisto;cxarpe.0isto;木工[mù gōng]
ĉarpentisto;cxarpe.0isto;木匠[mù jiàng]
