fabo;fab.0o.BOT;蚕豆[cán dòu]
fajlilo;fajl.0ilo;銼刀[cuò dāo]
fajna;;微細[wéi xì]
fajna;;縝[zhěn]
fajra;;如火[rú huǒ]
fajra;;火暴[huǒ bào]
fajra;;炯炯有神[jiǒng jiǒng yǒu shén]
fajra;;火一般[huǒ yī bān]
fajra;;烧红[shāo hóng]
fajra;;火热[huǒ rè]
fajra;;热情似火[rè qíng sì huǒ]
fajra;;激昂[jī áng]
fajra;;爚[yuè]
fajra;;焃[hè]
fajra;;火似[huǒ shì]
fajraĵo;fajr.0ajxo;焰火[yàn huǒ]
fajraĵo;fajr.0ajxo;烟花[yān huā]
fajrego;fajr.0ego;燹[xiǎn]
fajrego;fajr.0ego;野火[yě huǒ]
fajrejo;fajr.0ejo;炉床[lú chuáng]
fajreri;fajr.0eri;閃亮[shǎn liàng]
fajreri;fajr.0eri;嘒[huì]
fajreri;fajr.0eri;晔[yè]
fajreri;fajr.0eri;忽閃[hū shǎn]
fajreri;fajr.0eri;亮晶晶[liàng jīng jīng]
fajreri;fajr.0eri;閃閃[shǎn shǎn]
fajri;fajr.0i.KOMUNE;燚[yì]
fajrigi;fajr.0igi;点[diǎn]
fajrigi;fajr.0igi;点火[diǎn huǒ]
fajrigi;fajr.0igi;点火燃烧[diǎn huǒ rán shāo]
fajrigi;fajr.0igi;点着[diǎn zháo]
fajrigi;fajr.0igi;点燃[diǎn rán]
fajrigi;fajr.0igi;焌[jùn]
fajrilo;fajr.0ilo;打火机[dǎ huǒ jī]
fajrobirdo;fajr.0obirdo.rusa;鳯[fèng]
fajrobirdo;fajr.0obirdo.rusa;鵷[yuān]
fajrobirdo;fajr.0obirdo.rusa;火鳥[huǒ niǎo]
fajrostango;fajr.0ostango;火鉤[huǒ gōu]
artfajraĵo;fajr.art0ajxo;焰火[yàn huǒ]
artfajraĵo;fajr.art0ajxo;烟花[yān huā]
bivakfajro;fajr.bivak0o;篝火[gōu huǒ]
bivakfajro;fajr.bivak0o;營火[yíng huǒ]
senfajriĝi;fajr.sen0igxi;闌珊[lán shān]
senfajriĝi;fajr.sen0igxi;消亡[xiāo wáng]
senfajriĝi;fajr.sen0igxi;終止[zhōng zhǐ]
senfajriĝi;fajr.sen0igxi;滅亡[miè wáng]
faka;fak.0a;专门[zhuān mén]
fakaro;fak.0aro.kesto;文书夹[wén shū jiā]
fako;fak.0o.ujo;抽屉[chōu ti]
fako;fak.0o.ujo;抽斗[chōu dǒu]
fako;fak.0o.brancxo;专业领域[zhuān yè lǐng yù]
fako;fak.0o.brancxo;专科[zhuān kē]
fako;fak.0o.brancxo;领域[lǐng yù]
fako;fak.0o.brancxo;分科[fēn kē]
fako;fak.0o.brancxo;业界[yè jiè]
fako;fak.0o.brancxo;行业[háng yè]
fako;fak.0o.brancxo;专业[zhuān yè]
fako;fak.0o.brancxo;业[yè]
fako;fak.0o.brancxo;专题区[zhuān tí qū]
fako;fak.0o.sekcio;係[xì]
fakulo;fak.0ulo;专才[zhuān cái]
fakulo;fak.0ulo;专业职员[zhuān yè zhí yuán]
fakulo;fak.0ulo;专人[zhuān rén]
fakulo;fak.0ulo;行家[háng jia]
fakulo;fak.0ulo;专门家[zhuān mén jiā]
fakulo;fak.0ulo;技术专家[jì shù zhuān jiā]
fakisto;fak.0ulo;专才[zhuān cái]
fakisto;fak.0ulo;专业职员[zhuān yè zhí yuán]
fakisto;fak.0ulo;专人[zhuān rén]
fakisto;fak.0ulo;行家[háng jia]
fakisto;fak.0ulo;专门家[zhuān mén jiā]
fakisto;fak.0ulo;技术专家[jì shù zhuān jiā]
trabfaka;fak.trab0a;桁架[héng jià]
fako;;专题书目[zhuān tí shū mù]
fako;;专业术语[zhuān yè shù yǔ]
fako;;专门技术[zhuān mén jì shù]
fakoĉero;fakocx.0o;疣猪[yóu zhū]
faksilo;faks.0ilo;远程复印机[yuǎn chéng fù yìn jī]
faksaĵo;;传真印件[chuán zhēn yìn jiàn]
faksimilo;faksim.0o;复制版本[fù zhì bǎn běn]
faksaĵo;;传真[chuán zhēn]
fakta;;实质[shí zhí]
fakta;;实[shí]
fakte;fakt.0e;的是[dí shì]
fakto;fakt.0o;事实[shì shí]
fakto;fakt.0o;实际情况[shí jì qíng kuàng]
fakto;fakt.0o;实情[shí qíng]
fakto;fakt.0o;实事[shí shì]
faktoro;faktor.0o;因素[yīn sù]
faktoro;faktor.0o;倍数[bèi shù]
faktoro;faktor.0o;要素[yào sù]
faktoro;faktor.0o;因子[yīn zǐ]
faktorialo;faktor5.0o;阶乘[jiē chéng]
faktorialo;faktor5.0o;析因[xī yīn]
fakturi;faktur.0i;考慮某事[kǎo lü mǒu shì]
fakturi;faktur.0i;开立发票[kāi lì fā piào]
fakturo;faktur.0o;单子[dān zi]
fakturo;faktur.0o;統一發票[tǒng yī fā piào]
fakturo;faktur.0o;帐[zhàng]
fakturo;faktur.0o;賬[zhàng]
fakultato;fakult.0o;专业课围[zhuān yè kè wéi]
fakultato;fakult.0o;专业部门[zhuān yè bù mén]
fakultato;fakult.0o;学术领域[xué shù lǐng yù]
fakultato;fakult.0o;係[xì]
fakultato;fakult.0o;系[xì]
multfaceta;;多姿[duō zī]
fakultativa;fakultativ.0a;可任意选择[kě rèn yì xuǎn zé]
fakultativa;fakultativ.0a;任选[rèn xuǎn]
fakultativa;fakultativ.0a;选修[xuǎn xiū]
fakultativa;fakultativ.0a;如有则填[rú yǒu zé tián]
fakultativa;fakultativ.0a;可选购[kě xuǎn gòu]
fakultativa;fakultativ.0a;可供用戶選用[kě gōng yòng hù xuǎn yòng]
fakultativa;fakultativ.0a;用戶可選購的[yòng hù kě xuǎn gòu de]
fakultativa;fakultativ.0a;用戶可選購[yòng hù kě xuǎn gòu]
fakultativa;fakultativ.0a;选配[xuǎn pèi]
faleti;fal.0eti;踉踉跄跄[liàng liàng qiàng qiàng]
faleti;fal.0eti;跲[jiá]
faleti;fal.0eti;踬[zhì]
faleti;fal.0eti;跎[tuó]
faleti;fal.0eti;趔[liè]
faleti;fal.0eti;跌跤[dié jiāo]
faleti;fal.0eti;蹶[jué]
faleti;fal.0eti;蹪[tuí]
faleti;fal.0eti;絆倒[bàn dǎo]
faleti;fal.0eti;跶[dā]
faleti;fal.0eti;絆[bàn]
faleti;fal.0eti;踉跄[liàng qiàng]
faleti;fal.0eti;踜[lèng]
faleti;fal.0eti;旅程[lǚ chéng]
fali;fal.0i;下跌[xià diē]
fali;fal.0i;跌落[diē luò]
fali;fal.0i;下浮[xià fú]
fali;fal.0i;蹪[tuí]
fali;fal.0i;下落[xià luò]
fali;fal.0i;沉落[chén luò]
fali;fal.0i;霣[yǔn]
fali;fal.0i;攧[diān]
fali;fal.0i;掉[diào]
fali;fal.0i;陷[xiàn]
fali;fal.0i;陨[yǔn]
fali;fal.0i;踜[lèng]
falilo;fal.0ilo.FIG;滅頂之災[miè dǐng zhī zāi]
akvofalo;fal.akvo0o;悬泉[xuán quán]
akvofalo;fal.akvo0o;瀑布[pù bù]
akvofalo;fal.akvo0o;瀑[pù]
akvofalo;fal.akvo0o;瀑[bào]
defalaĵo;fal.de0ajxo;叛教[pàn jiào]
defalaĵo;fal.de0ajxo;背教[bèi jiào]
defalaĵo;fal.de0ajxo;下脚料[xià jiǎo liào]
defalaĵo;fal.de0ajxo;剪報[jiǎn bào]
defali;fal.de0i;浸一下[jìn yī xià]
defali;fal.de0i;掉落[diào luò]
defali;fal.de0i;脫[tuō]
disfali;fal.dis0i;倾颓[qīng tuí]
disfali;fal.dis0i;土崩瓦解[tǔ bēng wǎ jiě]
disfali;fal.dis0i;散板[sǎn bǎn]
disfali;fal.dis0i;散架[sǎn jià]
disfali;fal.dis0i;脫節[tuō jié]
disfali;fal.dis0i;腐朽化[fǔ xiǔ huà]
disfali;fal.dis0i;四分五裂[sì fēn wǔ liè]
disfali;fal.dis0i;破敝[pò bì]
disfali;fal.dis0i;崩[bēng]
disfalo;fal.dis0o;衰变[shuāi biàn]
enfali;;落入[luò rù]
enfali;;跌入[diē rù]
enfali;;掉入[diào rù]
enfali;;侵入[qīn rù]
enfali;;进入[jìn rù]
enfaligi;;扔进[rēng jìn]
enfaligi;;下[xià]
kurzofalo;fal.kurzo0o;行情暴跌[háng qíng bào dié]
kurzofalo;fal.kurzo0o;匯價暴跌[huì jià bào dié]
kurzofalo;fal.kurzo0o;股市急挫[gǔ shì jí cuò]
falafelo;falafel.0o;炸豆丸子[zhá dòu wán zǐ]
falaflo;falafel.0o;炸豆丸子[zhá dòu wán zǐ]
falango;falang.0o.MIL;作战序列[zuò zhàn xù liè]
falango;falang.0o.MIL;阵[zhèn]
falango;;方阵近迫武器系统[fāng zhèn jìn pò wǔ qì xì tǒng]
falbalo;falbal.0o;飾以荷葉邊[shì yǐ hé yè biān]
falbalo;falbal.0o;突然离去[tū rán lí qù]
falbalo;falbal.0o;荷叶边[hé yè biān]
falĉi;falcx.0i;乂[yì]
falĉi;falcx.0i;割草[gē cǎo]
falĉi;falcx.0i;摲[shàn]
falĉi;falcx.0i;收割[shōu gē]
falĉi;falcx.0i;芟[shān]
falĉileto;falcx.0ileto;銍[zhì]
falĉileto;falcx.0ileto;鐮刀[lián dāo]
falĉileto;falcx.0ileto;剳[dá]
falĉileto;falcx.0ileto;刈鉤[yì gōu]
falĉilo;falcx.0ilo;大鐮刀[dà lián dāo]
falcilo;;鐮[lián]
faldebla;fald.0ebla;折叠式[shé dié shì]
faldi;fald.0i;折叠[zhé dié]
faldi;fald.0i;对折[duì zhé]
faldo;fald.0o;褶[zhě]
faldo;fald.0o;縐[zhòu]
faldo;fald.0o;裥[jiǎn]
faldaĵo;fald.0o;褶[zhě]
faldaĵo;fald.0o;縐[zhòu]
faldo;;卷旋[juǎn xuàn]
disfaldi;fald.dis0i;舒张[shū zhāng]
malfaldi;fald.dis0i;舒张[shū zhāng]
malfaldi;fald.dis0i;逐渐成长[zhú jiàn chéng zhǎng]
malfaldi;fald.dis0i;发挥[fā huī]
malfaldi;fald.dis0i;施展[shī zhǎn]
malfaldi;fald.dis0i;詳細說明[xiáng xì shuō míng]
malfaldi;fald.dis0i;展开[zhǎn kāi]
malfaldi;fald.dis0i;展[zhǎn]
linifaldo;fald.lini0o;换行[huàn xíng]
refaldi;fald.re0i.MOV_supren;倒放[dào fàng]
refaldi;fald.re0i.MOV_supren;积累成[jī lěi chéng]
refaldi;fald.re0i.MOV_supren;卷起来[juǎn qǐ lai]
refaldi;fald.re0i.MOV_supren;袅袅上升[niǎo niǎo shàng shēng]
falko;falk.0o;猎鹰[liè yīng]
falko;falk.0o;鷹犬[yīng quǎn]
falko;falk.0o;鷹派人物[yīng pài rén wù]
falko;falk.0o;鶻[hú]
falkedoj;falked.0oj;隼属[zhǔn shǔ]
falkedoj;falked.0oj;隼科[zhǔn kē]
falsa;fals.0a;伪[wěi]
falsaĵo;fals.0ajxo;假貨[jiǎ huò]
falsaĵo;fals.0ajxo;仿冒品[fǎng mào pǐn]
falsaĵo;fals.0ajxo;伪造[wěi zào]
falsaĵo;fals.0ajxo;假冒[jiǎ mào]
falsaĵo;fals.0ajxo;伪钞[wěi chāo]
falsaĵo;fals.0ajxo;伪造品[wěi zào pǐn]
falsi;fals.0i;造假[zào jiǎ]
falsi;fals.0i;假的[jiǎ de]
falsi;fals.0i;假造[jiǎ zào]
falsi;fals.0i;仿冒[fǎng mào]
falsi;fals.0i;假扮[jiǎ bàn]
falsi;fals.0i;作伪[zuò wěi]
falsisto;fals.0isto;伪造者[wěi zào zhě]
falsisto;fals.0isto;造假者[zào jiǎ zhě]
falseto;falset.0o;假音[jiǎ yīn]
falseto;falset.0o;假声[jiǎ shēng]
falto;falt.0o;褶[zhě]
falto;falt.0o;縐[zhòu]
fama;fam.0a;名声显赫[míng shēng xiǎn hè]
fama;fam.0a;名留青史[míng liú qīng shǐ]
fama;fam.0a;出名[chū míng]
fama;fam.0a;名列[míng liè]
fama;fam.0a;著称[zhù chēng]
fama;fam.0a;重名[zhòng míng]
fama;fam.0a;如名[rú míng]
fama;fam.0a;久負盛名[jiǔ fù shèng míng]
fama;fam.0a;知名[zhī míng]
fama;fam.0a;燽[chóu]
fameco;fam.0eco;名度[míng dū]
fameco;fam.0eco;人气[rén qì]
fameco;fam.0eco;传奇色彩[chuán qí sè cǎi]
famigi;;頌[sòng]
famo;fam.0o.diskonateco;美称[měi chēng]
famo;fam.0o.diskonateco;人气[rén qì]
famo;fam.0o.diskonateco;传奇色彩[chuán qí sè cǎi]
famulo;fam.0ulo;名人[míng rén]
famulo;fam.0ulo;名流[míng liú]
famulo;fam.0ulo;名声[míng shēng]
famulo;fam.0ulo;明星[míng xīng]
fifama;fam.fi0a;恶名昭彰[è míng zhāo zhāng]
fifama;fam.fi0a;臭名昭着[chòu míng zhāo zhuó]
misfamigi;fam.mis0igi;詆[dǐ]
misfamigi;fam.mis0igi;涅[niè]
misfamigi;;讒[chán]
mondfama;fam.mond0a;举世闻名[jǔ shì wén míng]
mondfama;fam.mond0a;世界知名[shì jiè zhī míng]
mondfama;fam.mond0a;世界聞名[shì jiè wén míng]
mondfama;fam.mond0a;世界著名[shì jiè zhù míng]
senfama;fam.sen0a;未名[wèi míng]
senfama;fam.sen0a;不知名[bù zhī míng]
senfama;fam.sen0a;素不相識[sù bù xiāng shì]
senfama;fam.sen0a;不了解[bù liǎo jiě]
senfama;fam.sen0a;不熟悉[bù shú xī]
senfama;fam.sen0a;未知[wèi zhī]
senfamulo;fam.sen0ulo;未詳[wèi xiáng]
senfamulo;fam.sen0ulo;新來者[xīn lái zhě]
senfamulo;fam.sen0ulo;陌路[mò lù]
familia;famili.0a;弥合[mí hé]
lingvofamilio;;語言系屬分類[yǔ yán xì shǔ fēn lèi]
familiara;famili1.0a.MOR;亲密地[qīn mì de]
familiara;famili1.0a.MOR;弥合[mí hé]
familiareco;famili1.0eco;亲昵[qīn nì]
familiarulo;famili1.0ulo;友好[yǒu hǎo]
malfamiliara;famili1.mal0a.io;异样[yì yàng]
fanaro;fan.0aro;弟子的身份[dì zǐ de shēn fèn]
fano;fan.0o.fervorulo;发烧友[fā shāo yǒu]
fanatika;fanati.0a;偏激[piān jī]
fanatika;fanati.0a;狂热[kuáng rè]
fanatikeco;fanati.0eco;附身[fù shēn]
fanatikeco;fanati.0eco;迷住[mí zhù]
fandejo;;熔炼厂[róng liàn chǎng]
fandejo;;冶炼厂[yě liàn chǎng]
fandujo;fand.0ujo;坩鍋[gān guō]
fandujo;fand.0ujo;熔炉[róng lú]
fandejo;;精炼厂[jīng liàn chǎng]
kunfandiĝi;fand.kun0igxi;鎔[róng]
kunfandiĝi;fand.kun0igxi;归并[guī bìng]
kunfando;fand.kun0o.FIG;結合[jié hé]
fanerozoiko;;显生宙[xiǎn shēng zhòu]
fanfaroni;fanfar1.0i;自詡[zì xǔ]
fanfaronulo;fanfar1.0ulo;自大狂[zì dà kuáng]
fantasmagorio;fantas.0o.KIN;幻影[huàn yǐng]
fantasmagorio;fantas.0o.KIN;幻景[huàn jǐng]
fantasmagorio;fantas.0o.KIN;幻象[huàn xiàng]
fantasmo;fantasm.0o;幻影[huàn yǐng]
fantasmo;fantasm.0o;幻景[huàn jǐng]
fantasmo;fantasm.0o;幻象[huàn xiàng]
fantasta;fantast.0a;不理性[bù lǐ xìng]
fantasta;fantast.0a;离奇幻想[lí qí huàn xiǎng]
fantasta;fantast.0a;极妙[jí miào]
fantasta;fantast.0a;不真实[bù zhēn shí]
fantasta;fantast.0a;美妙[měi miào]
fantasto;fantast.0o;奇幻小說[qí huàn xiǎo shuō]
fantazia;fantaz.0a;有想象力[yǒu xiǎng xiàng lì]
fantaziaĵo;;白日夢[bái rì mèng]
fantazii;fantaz.0i;夢見[mèng jiàn]
fantazio;fantaz.0o.PSI;花俏[huā qiào]
fantazio;fantaz.0o.PSI;幻想力[huàn xiǎng lì]
fantazio;fantaz.0o.PSI;虚幻[xū huàn]
fantazio;;幻[huàn]
fantazio;;空想[kōng xiǎng]
fantomi;fantom.0i;作祟[zuò suì]
fantomo;;鬼怪[guǐ guài]
fantomo;;幽灵[yōu líng]
fantomo;;兇神惡煞[xiōng shén è shā]
fantomo;;鬼魂[guǐ hún]
faraĉi;far.0acxi;偷工减料[tōu gōng jiǎn liào]
faraĉi;far.0acxi;馬虎地工作[mǎ hǔ dì gōng zuò]
farado;far.0ado;行程調節[xíng chéng tiáo jié]
farado;far.0ado;冲程调节[chōng chéng tiáo jié]
faraĵo;far.0ajxo;收效[shōu xiào]
faraĵo;far.0ajxo;結果[jié guǒ]
faraĵo;far.0ajxo;收穫[shōu huò]
faraĵo;far.0ajxo;劳动产品[láo dòng chǎn pǐn]
fari;far.0i;使得[shǐ de]
fari;far.0i;打造[dǎ zào]
fari;far.0i;制做[zhì zuò]
fari;far.0i;干[gàn]
fari;far.0i;弄[nòng]
faro;far.0o;违法的事[wéi fǎ de shì]
faro;far.0o;績[jī]
faro;far.0o;行为[xíng wéi]
faro;far.0o;行动[xíng dòng]
alfari;far.al0i;啱[yān]
alfari;far.al0i;迁就[qiān jiù]
alfari;far.al0i;媲[pì]
alfari;far.al0i;逑[qiú]
alfari;far.al0i;坒[bì]
alfari;far.al0i;配[pèi]
artfarita;far.arte0ita;不自然地[bù zì rán de]
artfarita;far.arte0ita;人工[rén gōng]
artfarita;far.arte0ita;人为[rén wéi]
artfaritaĵo;far.arte0itajxo;人工产物[rén gōng chǎn wù]
artfaritaĵo;far.arte0itajxo;文物件[wén wù jiàn]
artfaritaĵo;far.arte0itajxo;手工艺品[shǒu gōng yì pǐn]
artfaritaĵo;far.arte0itajxo;人工制品[rén gōng zhì pǐn]
bonfaranto;;恩人[ēn rén]
bonfaranto;;捐助人[juān zhù rén]
bonfaranto;;檀越[tán yuè]
bonfaro;far.bon0o;善事[shàn shì]
elfari;;建成[jiàn chéng]
elfari;;竣工[jùn gōng]
malfari;far.mal0i;撤消创建[chè xiāo chuàng jiàn]
malfari;far.mal0i;挽回[wǎn huí]
nenifara;far.neni0a;无所事事[wú suǒ shì shì]
nenifara;far.neni0a;淸閑[qīng xián]
nenifaro;;懒散[lǎn sǎn]
Farado;farad.0o;麥可法拉第[mài kě fǎ lā dì]
faraono;faraon.0o;法老[fǎ lǎo]
farbi;farb.0i;繪[huì]
farbi;farb.0i;粉刷[fěn shuà]
farbi;farb.0i;漆[qī]
farbisto;farb.0isto;油工[yóu gōng]
farbisto;farb.0isto;画家[huà jiā]
farbo;farb.0o.KOL;飽滿墨色[bǎo mǎn mò sè]
farbo;farb.0o.KOL;漆[qī]
farbo;farb.0o.KOL;印刷色泽[yìn shuā sè zé]
farbito;farbit.0o;牵牛花[qiān niú huā]
farĉo;farcx.0o;夹心[jiā xīn]
farĉo;farcx.0o;餡兒[xiàn r]
farenhejta;farenh.0a;华氏[huá shì]
faringo;;嗌[yì]
fariseo;farise.0o.FIG;法利賽人[fǎ lì sài rén]
farmanto;farm.0anto;租地人[zū dì rén]
farmanto;farm.0anto;农场雇工[nóng chǎng gù gōng]
farmanto;farm.0anto;僱農[gù nóng]
farmaciaĵo;farmac.0ajxo;药品[yào pǐn]
farmaciaĵo;farmac.0ajxo;药剂[yào jì]
farmaciaĵo;farmac.0ajxo;药物[yào wù]
farmacio;farmac.0o;药物学[yào wù xué]
farmacio;;药剂学[yào jì xué]
farmacio;;药物[yào wù]
farmakologio;farmak.0o;药理学[yào lǐ xué]
farmakopeo;farmak1.0o;药方书[yào fāng shū]
farniento;farnient.0o;懒散[lǎn sǎn]
farso;fars.0o.TEA;荒謬可笑的東西[huāng miù kě xiào dì dōng xi]
farso;fars.0o.TEA;怪誕的事物[guài dàn de shì wù]
farso;fars.0o.TEA;滑稽剧[huá jī jù]
farso;fars.0o.TEA;趣剧[qù jù]
farso;fars.0o.TEA;闹剧[nào jù]
farso;fars.0o.TEA;滑稽[gǔ jī]
farso;fars.0o.TEA;胡闹[hú nào]
bonfarto;fart.bon0o;安康[ān kāng]
bonfarto;fart.bon0o;保持良好状态[bǎo chí liáng hǎo zhuàng tài]
bonfarto;fart.bon0o;禔[tí]
bonfarto;fart.bon0o;愃[xuān]
farunaĵo;farun.0ajxo;面食[miàn shí]
faruno;farun.0o;面儿[miàn r]
faruno;farun.0o;面粉[miàn fěn]
fasado;fasad.0o.ARKI;店头[diàn tóu]
fasado;fasad.0o.ARKI;店面[diàn miàn]
fasado;fasad.0o.ARKI;房屋正面[fáng wū zhèng miàn]
grafika fasado;fasad.grafika0o.KOMP;图形用户界面[tú xíng yòng hù jiè miàn]
fascina;fascin.0a;着迷[zháo mí]
fascina;fascin.0a;迷人[mí rén]
fascina;fascin.0a;最迷人[zuì mí rén]
fascina;fascin.0a;使人神魂顛倒[shǐ rén shén hún diān dǎo]
fascina;fascin.0a;有魅力[yǒu mèi lì]
fascina;fascin.0a;吸引人[xī yǐn rén]
fascina;fascin.0a;趣味[qù wèi]
fascini;fascin.0i;迷醉[mí zuì]
fascini;fascin.0i;令人着迷[lìng rén zháo mí]
fascino;fascin.0o;迷人之处[mí rén zhī chù]
fascino;fascin.0o;魔力[mó lì]
fascino;fascin.0o;誘惑力[yòu huò lì]
fascino;fascin.0o;魅力[mèi lì]
fasko;fask.0o;扎[zhá]
fasko;fask.0o;捆扎[kǔn zā]
fasko;fask.0o;朵[duǒ]
fadenfasko;fask.faden0o;綹[liǔ]
harfasko;fask.har0o;丱[guàn]
harfasko;fask.har0o;氂[máo]
fasoni;fason.0i.TEK;鋸開[jū kāi]
fasonisto;fason.0isto;时装设计师[shí zhuāng shè jì shī]
fasonisto;fason.0isto;設計人員[shè jì rén yuán]
fasono;fason.0o;款式[kuǎn shì]
fasono;fason.0o;設計制作[shè jì zhì zuò]
fasono;fason.0o;图案[tú àn]
fasono;fason.0o;图样[tú yàng]
fasono;fason.0o;图案设计[tú àn shè jì]
fasono;fason.0o;設計師[shè jì shī]
fasti;fast.0i;禁食[jìn shí]
fasto;fast.0o.ado;四旬期[sì xún qī]
fasto;fast.0o.ado;封斋期[fēng zhāi qī]
fasto;fast.0o.ado;大斋期[dài zhāi qī]
Granda Fasto;fast.granda0o.KRI;四旬期[sì xún qī]
