-o;o.0;头[tou],頭[tou]
obstakli;obstak.0i;絆[bàn],绊[bàn]
obstaklo;obstak.0o;障碍[zhàng ài],障礙[zhàng ài]
obstaklo;obstak.0o;阻碍[zǔ ài],阻礙[zǔ ài]
obstaklo;obstak.0o;障碍物[zhàng ài wù],障礙物[zhàng ài wù]
obstaklo;obstak.0o;难关[nán guān],難關[nán guān]
obstaklo;obstak.0o;大关[dà guān],大關[dà guān]
obstaklo;obstak.0o;絆腳石[bàn jiǎo shí],绊脚石[bàn jiǎo shí]
obstina;obstin.0a;頑固[wán gù],顽固[wán gù]
obstina;obstin.0a;固執[gù zhí],固执[gù zhí]
obstina;obstin.0a;倔強[jué jiàng],倔强[jué jiàng]
obstina;obstin.0a;愎[bì]
obstina;obstin.0a;拗[niù]
obstina;obstin.0a;硁[kēng],硜[kēng]
obstina;obstin.0a;紾[zhěn]
obstina;obstin.0a;強[jiàng],强[jiàng]
obstina;obstin.0a;繣[huà]
obstina;obstin.0a;死心眼儿[sǐ xīn yǎn r],死心眼兒[sǐ xīn yǎn r]
obstina;obstin.0a;迕[wǔ]
obstineco;obstin.0eco;頑固[wán gù],顽固[wán gù]
obstineco;obstin.0eco;牛心[niú xīn]
obstineco;obstin.0eco;牛性[niú xìng]
obstineco;obstin.0eco;倔強[jué jiàng],倔强[jué jiàng]
obstineco;obstin.0eco;任性[rèn xìng]
obstineco;obstin.0eco;犟劲[jiàng jìn],犟勁[jiàng jìn]
obstini;obstin.0i;一意孤行[yī yì gū xíng]
obstini;obstin.0i;挺[tǐng]
obstini;obstin.0i;坚执[jiān zhí],堅執[jiān zhí]
obstino;obstin.0o;頑固[wán gù],顽固[wán gù]
obstino;obstin.0o;牛心[niú xīn]
obstino;obstin.0o;牛性[niú xìng]
obstino;obstin.0o;倔強[jué jiàng],倔强[jué jiàng]
obstino;obstin.0o;任性[rèn xìng]
obstino;obstin.0o;犟劲[jiàng jìn],犟勁[jiàng jìn]
obstinulo;obstin.0ulo;啸鹟科[xiào wēng kē],嘯鶲科[xiào wēng kē]
obstrukci;obstru.0i;閡[hé],阂[hé]
obstrukci;obstru.0i;壅[yōng]
obstrukci;obstru.0i;妨碍[fáng ài],妨礙[fáng ài]
obstrukci;obstru.0i;挡住[dǎng zhù],擋住[dǎng zhù]
obstrukci;obstru.0i;拦阻[lán zǔ],攔阻[lán zǔ]
obstrukci;obstru.0i;滞塞[zhì sāi],滯塞[zhì sāi]
obstrukci;obstru.0i;窒[zhì]
obstrukci;obstru.0i;阻[zǔ]
obstrukco;obstru.0o;梗死[gěng sǐ]
obstrukco;obstru.0o;阻碍[zǔ ài],阻礙[zǔ ài]
obtuza;obtuz.0a.MUZ;沉悶[chén mèn],沉闷[chén mèn]
obtuza;obtuz.0a.MUZ;低沉[dī chén]
obtuza;obtuz.0a.angulo;不尖[bù jiān]
obtuza;obtuz.0a.angulo;鈍角[dùn jiǎo],钝角[dùn jiǎo]
obtuza;obtuz.0a.angulo;鈍[dùn],钝[dùn]
obuso;obus.0o;炮弹[pào dàn],炮彈[pào dàn]
oceano;ocean.0o;海洋[hǎi yáng]
oceano;ocean.0o;洋[yáng]
oceano;ocean.0o;大海[dà hǎi]
oceano;ocean.0o;海[hǎi]
oceano;ocean.0o;瀛[yíng]
oceano;ocean.0o;瀚[hàn]
Antarkta Oceano;ocean.AntarktaO0o;南冰洋[Nán bīng yáng]
Antarkta Oceano;ocean.AntarktaO0o;南大洋[Nán Dà yáng]
Antarkta Oceano;ocean.AntarktaO0o;南极海[Nán jí Hǎi],南極海[Nán jí Hǎi]
Norda Oceano;ocean.ArktaO0o;北冰洋[Běi bīng yáng]
Norda Oceano;ocean.ArktaO0o;北极海[běi jí hǎi],北極海[běi jí hǎi]
Atlanta Oceano;ocean.Atlanta_O0o;大西洋[Dà xī yáng]
Hinda Oceano;ocean.Hinda0o;印度洋[Yìn dù yáng]
Pacifika Oceano;ocean.Silenta_O0o;太平洋[Tài píng Yáng]
Oceanio;oceani.O0o;大洋洲[Dà yáng zhōu]
oceanologiisto;oceanologi.0isto;海洋学者[hǎi yáng xué zhě],海洋學者[hǎi yáng xué zhě]
oceanologiisto;oceanologi.0isto;海洋研究者[hǎi yáng yán jiū zhē]
oceanologio;oceanologi.0o;海洋学[hǎi yáng xué],海洋學[hǎi yáng xué]
odekolono;odekolon.0o;花露水[huā lù shuǐ]
odekolono;odekolon.0o;科隆香水[kē lóng xiāng shuǐ]
Odiseado;odise.0ado;奥德赛[ào dé sài],奧德賽[ào dé sài]
Odiseado;odise.0ado;奥德赛[Ào dé sài],奧德賽[Ào dé sài]
Odiseado;odise.0ado;長途漂泊[cháng tú piāo bó],长途漂泊[cháng tú piāo bó]
Odiseo;odise.0o;奥德修斯[Ào dé xiū sī],奧德修斯[Ào dé xiū sī]
Odiseo;odise.0o;奥迪修斯[Ào dí xiū sī],奧迪修斯[Ào dí xiū sī]
odora;odor.0a;香[xiāng]
odora;odor.0a;好香[hǎo xiāng]
odora;odor.0a;喷香[pèn xiāng],噴香[pèn xiāng]
odora;odor.0a;芳[fāng]
odora;odor.0a;馥馥[fù fù]
odora;odor.0a;芬芳[fēn fāng]
odora;odor.0a;香的[xiāng de]
odora;odor.0a;馡[fēi]
odori;;发出香味[fā chū xiāng wèi],發出香味[fā chū xiāng wèi]
odori;;释放芳香[shì fàng fāng xiāng],釋放芳香[shì fàng fāng xiāng]
odoro;odor.0o;气息[qì xī],氣息[qì xī]
odoro;odor.0o;味[wèi]
odoro;odor.0o;气[qì],氣[qì]
odoro;odor.0o;气味[qì wèi],氣味[qì wèi]
bonodora;odor.bon0a;馡[fēi]
bonodora;odor.bon0a;馨[xīn]
bonodora;odor.bon0a;苾[bì]
bonodora;odor.bon0a;芳[fāng]
bonodora;odor.bon0a;香[xiāng]
bonodora;odor.bon0a;芬芳[fēn fāng]
bonodorfumaĵo;odor.bon0fumajxo;炷[zhù]
bonodorfumaĵo;odor.bon0fumajxo;香气[xiāng qì],香氣[xiāng qì]
bonodorfumaĵo;odor.bon0fumajxo;香[xiāng]
bonodorfumaĵo;odor.bon0fumajxo;乳香[rǔ xiāng]
bonodorfumaĵo;odor.bon0fumajxo;線香[xiàn xiāng],线香[xiàn xiāng]
bonodori;odor.bon0i;发出香味[fā chū xiāng wèi],發出香味[fā chū xiāng wèi]
bonodori;odor.bon0i;释放芳香[shì fàng fāng xiāng],釋放芳香[shì fàng fāng xiāng]
malbonodora;odor.malbon0a;臭[chòu]
malbonodora;odor.malbon0a;臭烘烘[chòu hōng hōng]
malbonodora;odor.malbon0a;臭熏熏[chòu xūn xūn],臭燻燻[chòu xūn xūn]
malbonodora;odor.malbon0a;臭的[chòu de]
fiodori;odor.malbon0i;发臭[fā chòu],發臭[fā chòu]
odoraĉo;odor.malbon0o;恶臭[è chòu],惡臭[è chòu]
odoraĉo;odor.malbon0o;臊气[sāo qì],臊氣[sāo qì]
odoraĉo;odor.malbon0o;臭气[chòu qì],臭氣[chòu qì]
senodorigilo;odor.sen0igilo;除臭剂[chú chòu jì],除臭劑[chú chòu jì]
senodorigilo;odor.sen0igilo;香体剂[xiāng tǐ jì],香體劑[xiāng tǐ jì]
Odro;odr.O0o;奧得河[ào dé hé]
Odro;odr.O0o;奥得河[ào děi hé],奧得河[ào děi hé]
ofenda;ofend.0a;难听[nán tīng],難聽[nán tīng]
ofendeti;ofend.0eti;呧[dǐ]
ofendeti;ofend.0eti;伤心[shāng xīn],傷心[shāng xīn]
ofendi;ofend.0i;冒犯[mào fàn]
ofendi;ofend.0i;惹人[rě rén]
ofendi;ofend.0i;触犯[chù fàn],觸犯[chù fàn]
ofendi;ofend.0i;惹恼[rě nǎo],惹惱[rě nǎo]
ofendiĝema;ofend.0igxema;敏感[mǐn gǎn]
ofendiĝi;ofend.0igxi;上火[shàng huǒ]
ofendiĝo;ofend.0igxo;饞言[chán yán],馋言[chán yán]
ofendo;ofend.0o;冒犯[mào fàn]
ofendo;ofend.0o;凌辱[líng rǔ]
ofendo;ofend.0o;謷[áo]
ofendo;ofend.0o;罪愆[zuì qiān]
ofensivo;ofensi.0o;攻势[gōng shì],攻勢[gōng shì]
ofensivo;ofensi.0o;进攻[jìn gōng],進攻[jìn gōng]
oferado;ofer.0ado;牺[xī],犧[xī]
oferaĵo;ofer.0ajxo;供[gòng]
oferaĵo;ofer.0ajxo;牲礼[shēng lǐ],牲禮[shēng lǐ]
oferaĵo;ofer.0ajxo;供物[gòng wù]
oferaĵo;ofer.0ajxo;供品[gòng pǐn]
oferaĵo;ofer.0ajxo;犊[dú],犢[dú]
oferaĵo;ofer.0ajxo;祭牲[jì shēng]
oferaĵo;ofer.0ajxo;奉现[fèng xiàn],奉現[fèng xiàn]
oferaĵo;ofer.0ajxo;餼[xì],饩[xì]
oferema;ofer.0ema;慷慨[kāng kǎi]
oferema;ofer.0ema;慨[kǎi]
oferi;ofer.0i;牺牲[xī shēng],犧牲[xī shēng]
oferi;ofer.0i;牲礼[shēng lǐ],牲禮[shēng lǐ]
ofero;ofer.0o;牺牲[xī shēng],犧牲[xī shēng]
ofero;ofer.0o;禜[yǒng]
ofero;ofer.0o;軷[bá]
ofero;ofer.0o;祭物[jì wù]
ofero;ofer.0o;畤[zhì]
brulofero;ofer.brul0o;烧祭[shāo jì],燒祭[shāo jì]
brulofero;ofer.brul0o;全烧祭[quán shāo jì],全燒祭[quán shāo jì]
buĉofero;ofer.bucx0o;牺牲品[xī shēng pǐn],犧牲品[xī shēng pǐn]
buĉofero;ofer.bucx0o;牺牲者[xī shēng zhě],犧牲者[xī shēng zhě]
buĉofero;ofer.bucx0o;祭品[jì pǐn]
sinofero;ofer.sin0o;事业心[shì yè xīn],事業心[shì yè xīn]
sinofero;ofer.sin0o;献身[xiàn shēn],獻身[xiàn shēn]
sinofero;ofer.sin0o;奉献[fèng xiàn],奉獻[fèng xiàn]
sinofero;ofer.sin0o;沉溺于[chén nì yú],沉溺於[chén nì yú]
verŝofero;;奠酒[diàn jiǔ]
oferti;ofert.0i;献[xiàn],獻[xiàn]
oferti;ofert.0i;報盤[bào pán],报盘[bào pán]
oferti;ofert.0i;提供[tí gōng]
oferti;ofert.0i;奉上[fèng shàng]
oferto;ofert.0o;報盤[bào pán],报盘[bào pán]
oferto;ofert.0o;下注[xià zhù]
oferto;ofert.0o;出价了[chū jià liǎo],出價了[chū jià liǎo]
oferto;ofert.0o;建議過[jiàn yì guò],建议过[jiàn yì guò]
oferto;ofert.0o;提議過[tí yì guò],提议过[tí yì guò]
oficejo;ofic.0ejo;局[jú]
oficejo;ofic.0ejo;办公室[bàn gōng shì],辦公室[bàn gōng shì]
oficejo;ofic.0ejo;署[shǔ]
oficejo;ofic.0ejo;衙[yá]
oficejo;ofic.0ejo;廨[xiè]
oficisto;ofic.0isto;公備員[gōng bèi yuán],公备员[gōng bèi yuán]
oficisto;ofic.0isto;宦[huàn]
ofico;ofic.0o;职[zhí],職[zhí]
ofico;ofic.0o;岗位[gǎng wèi],崗位[gǎng wèi]
ofico;ofic.0o;差事[chāi shi]
centra oficejo;ofic.centra_0ejo;总公司[zǒng gōng sī],總公司[zǒng gōng sī]
centra oficejo;ofic.centra_0ejo;本部[běn bù]
centra oficejo;ofic.centra_0ejo;总局[zǒng jú],總局[zǒng jú]
senoficigi;ofic.sen0igi;撤职[chè zhí],撤職[chè zhí]
senoficigi;ofic.sen0igi;免职[miǎn zhí],免職[miǎn zhí]
senoficigi;ofic.sen0igi;免[miǎn]
ŝtatoficisto;ofic.sxtat0isto;官吏[guān lì]
ŝtatoficisto;ofic.sxtat0isto;官员[guān yuán],官員[guān yuán]
ŝtatoficisto;ofic.sxtat0isto;政府官员[zhèng fǔ guān yuán],政府官員[zhèng fǔ guān yuán]
oficiala;oficia.0a;正式[zhèng shì]
oficiala;oficia.0a;官方[guān fāng]
oficiala;oficia.0a;掾[yuàn]
oficialulo;oficia.0ulo;郎[láng]
oficialulo;oficia.0ulo;主管[zhǔ guǎn]
oficialulo;oficia.0ulo;干部[gàn bù],幹部[gàn bù]
oficiro;oficir.0o;尉[wèi]
oficiro;oficir.0o;军官[jūn guān],軍官[jūn guān]
oficiro;oficir.0o;军长[jūn zhǎng],軍長[jūn zhǎng]
oficialulo;;官员[guān yuán],官員[guān yuán]
suboficiro;oficir.sub0o;士官[shì guān]
suboficiro;oficir.sub0o;军士[jūn shì],軍士[jūn shì]
suboficiro;oficir.sub0o;中士[zhōng shì]
suboficiro;oficir.sub0o;下級軍官[xià jí jūn guān],下级军官[xià jí jūn guān]
ofsajdo;ofsajd.0o;越位[yuè wèi]
ofseto;ofset.0o;胶版印刷[jiāo bǎn yìn shuā],膠版印刷[jiāo bǎn yìn shuā]
ofta;oft.0a;頻[pín],频[pín]
ofta;oft.0a;常見[cháng jiàn],常见[cháng jiàn]
ofta;oft.0a;頻繁[pín fán],频繁[pín fán]
ofta;oft.0a;頻仍[pín réng],频仍[pín réng]
ofta;oft.0a;时常[shí cháng],時常[shí cháng]
ofte;oft.0e;时常[shí cháng],時常[shí cháng]
ofte;oft.0e;常[cháng]
ofte;oft.0e;常常[cháng cháng]
ofte;oft.0e;勤密[qín mì]
ofte;oft.0e;常时[cháng shí],常時[cháng shí]
ofte;oft.0e;每每[měi měi]
ofte;oft.0e;往往[wǎng wǎng]
ofteco;oft.0eco;頻[pín],频[pín]
ofteco;oft.0eco;次数[cì shù],次數[cì shù]
ofteco;oft.0eco;頻次[pín cì],频次[pín cì]
ofto;oft.0o;次数[cì shù],次數[cì shù]
malofta;oft.mal0a;少有[shǎo yǒu]
malofta;oft.mal0a;难得[nán dé],難得[nán dé]
malofta;oft.mal0a;稀少[xī shǎo]
malofta;oft.mal0a;罕見[hǎn jiàn],罕见[hǎn jiàn]
malofta;oft.mal0a;罕[hǎn]
malofta;oft.mal0a;稀[xī]
malofta;oft.mal0a;稀有[xī yǒu]
malofta;oft.mal0a;难得一见[nán dé yī jiàn],難得一見[nán dé yī jiàn]
malofta;oft.mal0a;罕有[hǎn yǒu]
malofta;oft.mal0a;珍奇[zhēn qí]
malofta;oft.mal0a;不可多得[bù kě duō dé]
malofta;oft.mal0a;稀奇[xī qí]
maloftaĵo;oft.mal0ajxo;稀罕[xī han]
maloftaĵo;oft.mal0ajxo;尤物[yóu wù]
maloftaĵo;oft.mal0ajxo;瑰宝[guī bǎo],瑰寶[guī bǎo]
plejofte;oft.plej0e;克服[kè fú]
plejofte;oft.plej0e;最为[zuì wéi],最為[zuì wéi]
plejofte;oft.plej0e;很經常[hěn jīng cháng],很经常[hěn jīng cháng]
plejofte;oft.plej0e;大多[dà duō]
plejofte;oft.plej0e;几至[jī zhì],幾至[jī zhì]
plioftiĝi;oft.pli0igxi;滋生[zī shēng]
oftalmito;oftalm.0o;眼疾[yǎn jí]
oftalmologo;oftalmolog.0o;眼科医生[yǎn kē yī shēng],眼科醫生[yǎn kē yī shēng]
oftalmologio;oftalmologi.0o;眼科[yǎn kē]
oftalmologio;oftalmologi.0o;眼科学[yǎn kē xué],眼科學[yǎn kē xué]
ogiva;ogiv.0a;战斗部[zhàn dǒu bù],戰斗部[zhàn dǒu bù]
ogivo;ogiv.0o;战斗部[zhàn dòu bù],戰斗部[zhàn dòu bù]
ogivo;ogiv.0o;弹头[dàn tóu],彈頭[dàn tóu]
Ohio;ohi.0o;俄亥俄[Á hài é]
Ohio;ohi.0o;俄亥俄州[Á hài é zhōu]
Oĥocko;ohxock.O0o;鄂霍次克[è huò cì kè],鄂霍次剋[è huò cì kè]
ojdio;ojdi.0o;白粉病[bái fěn bìng]
ojdio;ojdi.0o;粉孢子[fěn bāo zǐ]
okapio;okapi.0o;霍加狓[huò jiā pī]
okarino;okarin.0o;埙[xūn],塤[xūn]
okarino;okarin.0o;陶笛[táo dí]
okaza;okaz.0a;碰巧[pèng qiǎo]
okaza;okaz.0a;偶然[ǒu rán]
okaza;okaz.0a;偶尔[ǒu ěr],偶爾[ǒu ěr]
okazaĵo;okaz.0ajxo;事件[shì jiàn]
okazaĵo;okaz.0ajxo;巧合[qiǎo hé]
okazantaĵo;okaz.0antajxo.KOMUNE;发生的事情[fā shēng de shì qing],發生的事情[fā shēng de shì qing]
okazantaĵo;okaz.0antajxo.KOMUNE;升降索[shēng jiàng suǒ]
okazantaĵo;okaz.0antajxo.KOMUNE;事件[shì jiàn]
okaze;okaz.0e;偶尔[ǒu ěr],偶爾[ǒu ěr]
okaze de;okaz.0ede;趁[chèn]
okazi;okaz.0i;发生[fā shēng],發生[fā shēng]
okazi;okaz.0i;交叉而过[jiāo chā ér guò],交叉而過[jiāo chā ér guò]
okazigi;okaz.0igi;主办[zhǔ bàn],主辦[zhǔ bàn]
okazigi;okaz.0igi;備下[bèi xià],备下[bèi xià]
okazigi;okaz.0igi;安排[ān pái]
okazigi;okaz.0igi;組織[zǔ zhī],组织[zǔ zhī]
okazigi;okaz.0igi;举办[jǔ bàn],舉辦[jǔ bàn]
okazo;okaz.0o;事件[shì jiàn]
