#kap	mrk	lng	trd	ind
pa	pa.0	fr		bah !
malpacema	pac.mal0ema.KOMUNE	de		streitsüchtig
malpacema	pac.mal0ema.KOMUNE	de		kriegerisch
malpacema	pac.mal0ema.KOMUNE	de		kriegsstiftend
malpacema	pac.mal0ema.KOMUNE	en		hostile
malpacema	pac.mal0ema.KOMUNE	en		quarrelsome
malpacema	pac.mal0ema.KOMUNE	en		vindicative
malpacema	pac.mal0ema.KOMUNE	fr		querelleur
malpacema	pac.mal0ema.KOMUNE	fr		vindicatif
malpaceto	pac.mal0eto	de		Scharmützel
malpaceto	pac.mal0eto	de		Tändel
malpaceto	pac.mal0eto	de		Geplänkel
malpaceto	pac.mal0eto	de		Zerwürfnis
malpaceto	pac.mal0eto	de		Zwietracht
malpaceto	pac.mal0eto	en		squabble
malpaceto	pac.mal0eto	en		dispute
malpaceto	pac.mal0eto	fr		brouille
malpaceto	pac.mal0eto	fr		chamaillerie
malpaceto	pac.mal0eto.KOMUNE	de		Scharmützel
malpaceto	pac.mal0eto.KOMUNE	de		Tändel
malpaceto	pac.mal0eto.KOMUNE	de		Geplänkel
malpaceto	pac.mal0eto.KOMUNE	de		Zerwürfnis
malpaceto	pac.mal0eto.KOMUNE	de		Zwietracht
malpaceto	pac.mal0eto.KOMUNE	en		squabble
malpaceto	pac.mal0eto.KOMUNE	en		dispute
malpaceto	pac.mal0eto.KOMUNE	fr		brouille
malpaceto	pac.mal0eto.KOMUNE	fr		chamaillerie
malpaci	pac.mal0i	de	Krieg führen	Krieg
malpaci	pac.mal0i	de	sich bekriegen	bekriegen
malpaci	pac.mal0i	en	dispute	dispute
malpaci	pac.mal0i	en	quarell	quarell
malpaci	pac.mal0i	fr	se disputer	disputer
malpaci	pac.mal0i	fr	se quereller	quereller
malpaci	pac.mal0i.KOMUNE	de	Krieg führen	Krieg
malpaci	pac.mal0i.KOMUNE	de	sich bekriegen	bekriegen
malpaci	pac.mal0i.KOMUNE	en	dispute	dispute
malpaci	pac.mal0i.KOMUNE	en	quarell	quarell
malpaci	pac.mal0i.KOMUNE	fr	se disputer	disputer
malpaci	pac.mal0i.KOMUNE	fr	se quereller	quereller
malpaciĝi	pac.mal0igxi	de		zusammenstoßen
malpaciĝi	pac.mal0igxi	en		enter into a conflict
malpaciĝi	pac.mal0igxi	fr		entrer en conflit
malpaciĝi	pac.mal0igxi	fr	se prendre de querelle	prendre
malpaciĝi	pac.mal0igxi.KOMUNE	de		zusammenstoßen
malpaciĝi	pac.mal0igxi.KOMUNE	en		enter into a conflict
malpaciĝi	pac.mal0igxi.KOMUNE	fr		entrer en conflit
malpaciĝi	pac.mal0igxi.KOMUNE	fr	se prendre de querelle	prendre
malpaco	pac.mal0o	de		Krieg
malpaco	pac.mal0o	de		Zusammenstoß
malpaco	pac.mal0o	de		Zerwürfnis
malpaco	pac.mal0o	de		Unfriede
malpaco	pac.mal0o	de		Fehde
malpaco	pac.mal0o	de		Zwist
malpaco	pac.mal0o	de		Zwietracht
malpaco	pac.mal0o	en		conflict
malpaco	pac.mal0o	en		hostility
malpaco	pac.mal0o	fr		conflit
malpaco	pac.mal0o	fr		hostilité
malpaco	pac.mal0o.KOMUNE	de		Krieg
malpaco	pac.mal0o.KOMUNE	de		Zusammenstoß
malpaco	pac.mal0o.KOMUNE	de		Zerwürfnis
malpaco	pac.mal0o.KOMUNE	de		Unfriede
malpaco	pac.mal0o.KOMUNE	de		Fehde
malpaco	pac.mal0o.KOMUNE	de		Zwist
malpaco	pac.mal0o.KOMUNE	de		Zwietracht
malpaco	pac.mal0o.KOMUNE	en		conflict
malpaco	pac.mal0o.KOMUNE	en		hostility
malpaco	pac.mal0o.KOMUNE	fr		conflit
malpaco	pac.mal0o.KOMUNE	fr		hostilité
repacigi	pac.re0igi	de		versöhnen
repacigi	pac.re0igi	de		befrieden
repacigi	pac.re0igi	en	reconcile (other people)	reconcile
repacigi	pac.re0igi	fr		réconcilier
repacigi	pac.re0igi.KOMUNE	de		versöhnen
repacigi	pac.re0igi.KOMUNE	de		befrieden
repacigi	pac.re0igi.KOMUNE	en	reconcile (other people)	reconcile
repacigi	pac.re0igi.KOMUNE	fr		réconcilier
repaciĝi	pac.re0igxi	en	reconcile (with each other)	reconcile
repaciĝi	pac.re0igxi	fr	se réconcilier	réconcilier
repaciĝi	pac.re0igxi.KOMUNE	en	reconcile (with each other)	reconcile
repaciĝi	pac.re0igxi.KOMUNE	fr	se réconcilier	réconcilier
pacienca	pacien.0a	de		geduldig
pacienca	pacien.0a	en		patient
pacienca	pacien.0a	fr		patient
pacienca	pacien.0a.PSI	de		geduldig
pacienca	pacien.0a.PSI	en		patient
pacienca	pacien.0a.PSI	fr		patient
pacienci	pacien.0i	de	sich gedulden	gedulden
pacienci	pacien.0i	fr		patienter
pacienci	pacien.0i.PSI	de	sich gedulden	gedulden
pacienci	pacien.0i.PSI	fr		patienter
pacienco	pacien.0o	de		Geduld
pacienco	pacien.0o	en		patience
pacienco	pacien.0o	fr		patience
pacienco	pacien.0o.PSI	de		Geduld
pacienco	pacien.0o.PSI	en		patience
pacienco	pacien.0o.PSI	fr		patience
malpacienca	pacien.mal0a	de		ungeduldig
malpacienca	pacien.mal0a	en		impatient
malpacienca	pacien.mal0a	fr		impatient
malpacienca	pacien.mal0a.PSI	de		ungeduldig
malpacienca	pacien.mal0a.PSI	en		impatient
malpacienca	pacien.mal0a.PSI	fr		impatient
malpacienco	pacien.mal0o	de		Ungeduld
malpacienco	pacien.mal0o	fr		impatience
malpacienco	pacien.mal0o.PSI	de		Ungeduld
malpacienco	pacien.mal0o.PSI	fr		impatience
senpacienciĝi	pacien.sen0igxi	de		ungeduldig werden
perdi la paciencon	pacien.sen0igxi	de		ungeduldig werden
senpacienciĝi	pacien.sen0igxi	de	die Geduld verlieren	Geduld
perdi la paciencon	pacien.sen0igxi	de	die Geduld verlieren	Geduld
senpacienciĝi	pacien.sen0igxi	fr	s'impatienter	impatienter
perdi la paciencon	pacien.sen0igxi	fr	s'impatienter	impatienter
senpacienciĝi	pacien.sen0igxi	fr	perdre patience	patience
perdi la paciencon	pacien.sen0igxi	fr	perdre patience	patience
senpacienciĝi	pacien.sen0igxi.PSI	de		ungeduldig werden
perdi la paciencon	pacien.sen0igxi.PSI	de		ungeduldig werden
senpacienciĝi	pacien.sen0igxi.PSI	de	die Geduld verlieren	Geduld
perdi la paciencon	pacien.sen0igxi.PSI	de	die Geduld verlieren	Geduld
senpacienciĝi	pacien.sen0igxi.PSI	fr	s'impatienter	impatienter
perdi la paciencon	pacien.sen0igxi.PSI	fr	s'impatienter	impatienter
senpacienciĝi	pacien.sen0igxi.PSI	fr	perdre patience	patience
perdi la paciencon	pacien.sen0igxi.PSI	fr	perdre patience	patience
paciento	pacien1.0o	de		Patient
paciento	pacien1.0o	en		patient
paciento	pacien1.0o	fr	patient (subst.)	patient
paciento	pacien1.0o.MED	de		Patient
paciento	pacien1.0o.MED	en		patient
paciento	pacien1.0o.MED	fr	patient (subst.)	patient
pacifismo	pacifi.0o	de		Pazifismus
pacifismo	pacifi.0o	en		pacifism
pacifismo	pacifi.0o	fr		pacifisme
pacifisto	pacifi1.0o	de		Pazifist
pacifisto	pacifi1.0o	en		pacifist
Pacifiko	pacifik.P0o	de	Stiller Ozean	Ozean
Pacifiko	pacifik.P0o	de		Pazifik
Pacifiko	pacifik.P0o	en		Pacific Ocean
Pacifiko	pacifik.P0o	fr	Océan pacifique	pacifique
Pacifiko	pacifik.P0o.GEOG	de	Stiller Ozean	Ozean
Pacifiko	pacifik.P0o.GEOG	de		Pazifik
Pacifiko	pacifik.P0o.GEOG	en		Pacific Ocean
Pacifiko	pacifik.P0o.GEOG	fr	Océan pacifique	pacifique
transpacifika	pacifik.trans0a	fr		transpacifique
transpacifika	pacifik.trans0a.GEOG	fr		transpacifique
transpacifika	pacifik.trans0a.TUR	fr		transpacifique
paĉulo	pacxul.0o	de		Patschuli
paĉulo	pacxul.0o	en		patchouli
paĉulo	pacxul.0o	fr		patchouli
pado	pad.0o	de		Pfad
pado	pad.0o	en		path
pado	pad.0o	fr	chemin (sentier)	chemin
pado	pad.0o	fr		sentier
Pado	pad1.0o	NULL	NULL	NULL
Pado	pad1.0o.rivero	de	Po (Fluss)	Po
Pado	pad1.0o.rivero	en	Po (river)	Po
Pado	pad1.0o.rivero	fr		Pô
padeli	padel.0i	de		paddeln
padeli	padel.0i.SPO	de		paddeln
padeli	padel.0i.SPO	en		paddle
padeli	padel.0i.SPO	fr		pagayer
padeli	padel.0i.SPO	de		paddeln
padelo	padel.0o	de	Flügel (Windmühle)	Flügel
padelo	padel.0o	de	Blatt (Turbine, Mühlrad, Ruder)	Blatt
padelo	padel.0o	fr		pale
padelo	padel.0o.TEK	de	Flügel (Windmühle)	Flügel
padelo	padel.0o.TEK	de	Blatt (Turbine, Mühlrad, Ruder)	Blatt
padelo	padel.0o.TEK	fr		pale
paduso	padus.0o	fr		cerisier à grappes
paduso	padus.0o	fr		merisier à grappes
paduso	padus.0o.BOT	fr		cerisier à grappes
paduso	padus.0o.BOT	fr		merisier à grappes
paeljo	paelj.0o	de		Paella
paeljo	paelj.0o	en		paella
paeljo	paelj.0o	fr		paëlla
paf	paf.0	de		Peng!
paf	paf.0	en	bang (shooting sound)	bang
paf	paf.0	fr		boum !
paf	paf.0	fr		paf !
paf	paf.0.SON	de		Peng!
paf	paf.0.SON	en	bang (shooting sound)	bang
paf	paf.0.SON	fr		boum !
paf	paf.0.SON	fr		paf !
pafaro	paf.0ado	de		Schießen
pafado	paf.0ado	de		Schießen
pafaro	paf.0ado	de		Salve
pafado	paf.0ado	de		Salve
pafaro	paf.0ado	en		shooting
pafado	paf.0ado	en		shooting
pafaro	paf.0ado	fr		fusillade
pafado	paf.0ado	fr		fusillade
pafaro	paf.0ado	fr		rafale
pafado	paf.0ado	fr		rafale
pafaro	paf.0ado	fr	salve (de tirs)	salve
pafado	paf.0ado	fr	salve (de tirs)	salve
pafaro	paf.0ado.ARM	de		Schießen
pafado	paf.0ado.ARM	de		Schießen
pafaro	paf.0ado.ARM	de		Salve
pafado	paf.0ado.ARM	de		Salve
pafaro	paf.0ado.ARM	en		shooting
pafado	paf.0ado.ARM	en		shooting
pafaro	paf.0ado.ARM	fr		fusillade
pafado	paf.0ado.ARM	fr		fusillade
pafaro	paf.0ado.ARM	fr		rafale
pafado	paf.0ado.ARM	fr		rafale
pafaro	paf.0ado.ARM	fr	salve (de tirs)	salve
pafado	paf.0ado.ARM	fr	salve (de tirs)	salve
pafaĵo	paf.0ajxo	en		projectile
pafaĵo	paf.0ajxo	en		ammunition
pafaĵo	paf.0ajxo	fr		projectile
pafaĵo	paf.0ajxo	de		Geschoss
pafaĵo	paf.0ajxo	de		Projektil
pafaĵo	paf.0ajxo.ARM	en		projectile
pafaĵo	paf.0ajxo.ARM	en		ammunition
pafaĵo	paf.0ajxo.ARM	fr		projectile
pafaĵo	paf.0ajxo.ARM	de		Geschoss
pafaĵo	paf.0ajxo.ARM	de		Projektil
pafejo	paf.0ejo	de		Schießstand
pafejo	paf.0ejo	en		firing range
pafejo	paf.0ejo	en		shooting range
pafejo	paf.0ejo	fr		stand de tir
pafejo	paf.0ejo.ARM	de		Schießstand
pafejo	paf.0ejo.ARM	en		firing range
pafejo	paf.0ejo.ARM	en		shooting range
pafejo	paf.0ejo.ARM	fr		stand de tir
pafi	paf.0i	de		schießen
pafi	paf.0i	en		shoot
pafi	paf.0i	fr	tirer (un projectile)	tirer
pafi	paf.0i.FIG	de		schießen
pafi	paf.0i.FIG	en		shoot
pafi	paf.0i.FIG	fr	tirer (un projectile)	tirer
pafi	paf.0i.KOMUNE	de		schießen
pafi	paf.0i.KOMUNE	en		shoot
pafi	paf.0i.KOMUNE	fr	tirer (un projectile)	tirer
pafiĝi	paf.0igxi	en		shoot
sin pafi	paf.0igxi	en		shoot
pafiĝi	paf.0igxi	en		get shot
sin pafi	paf.0igxi	en		get shot
pafiĝi	paf.0igxi	fr	se propulser	propulser
sin pafi	paf.0igxi	fr	se propulser	propulser
pafiĝi	paf.0igxi.KOMUNE	en		shoot
sin pafi	paf.0igxi.KOMUNE	en		shoot
pafiĝi	paf.0igxi.KOMUNE	en		get shot
sin pafi	paf.0igxi.KOMUNE	en		get shot
pafiĝi	paf.0igxi.KOMUNE	fr	se propulser	propulser
sin pafi	paf.0igxi.KOMUNE	fr	se propulser	propulser
pafiĝi	paf.0igxi.morte	en		shoot
sin pafi	paf.0igxi.morte	en		shoot
pafiĝi	paf.0igxi.morte	en		get shot
sin pafi	paf.0igxi.morte	en		get shot
pafiĝi	paf.0igxi.morte	fr	se propulser	propulser
sin pafi	paf.0igxi.morte	fr	se propulser	propulser
pafilego	paf.0ilego	de		Geschütz
pafilego	paf.0ilego	de		Kanone
pafilego	paf.0ilego	en		cannon
pafilego	paf.0ilego	fr		canon
pafilego	paf.0ilego.ARM	de		Geschütz
pafilego	paf.0ilego.ARM	de		Kanone
pafilego	paf.0ilego.ARM	en		cannon
pafilego	paf.0ilego.ARM	fr		canon
pafilkapo	paf.0ilkapo	de		Kolben
pafilkapo	paf.0ilkapo.kolbo	de		Kolben
pafilo	paf.0ilo	NULL	NULL	NULL
pafilo	paf.0ilo.ARM	de		Schusswaffe
pafilo	paf.0ilo.ARM	en		firearm
pafilo	paf.0ilo.ARM	en		gun
pafilo	paf.0ilo.ARM	fr		arme lance-projectiles
pafilo	paf.0ilo.KOMUNE	NULL	NULL	NULL
pafilo	paf.0ilo.fusilo	de		Gewehr
pafilo	paf.0ilo.fusilo	de		Flinte
pafisto	paf.0isto	de		Schütze
pafisto	paf.0isto.KOMUNE	en		marksman
pafisto	paf.0isto.KOMUNE	fr		tireur
pafisto	paf.0isto.KOMUNE	de		Schütze
pafo	paf.0o	de		Schuss
pafo	paf.0o	en		shot
pafo	paf.0o	fr		coup de feu
pafo	paf.0o	fr		tir
pafo	paf.0o.ARM	de		Schuss
pafo	paf.0o.ARM	en		shot
pafo	paf.0o.ARM	fr		coup de feu
pafo	paf.0o.ARM	fr		tir
Pafisto	paf.P0isto	de	Schütze (Sternbild)	Schütze
Pafisto	paf.P0isto	en		Sagittarius
Pafisto	paf.P0isto	fr	Sagittaire (constellation)	Sagittaire
Pafisto	paf.P0isto.AST	de	Schütze (Sternbild)	Schütze
Pafisto	paf.P0isto.AST	en		Sagittarius
Pafisto	paf.P0isto.AST	fr	Sagittaire (constellation)	Sagittaire
fingropafo	paf.fingro0o	de		Fingerschnips
fingropafo	paf.fingro0o	fr		chiquenaude
fingropafo	paf.fingro0o	fr		pichenette
fingropafo	paf.fingro0o.MOV	de		Fingerschnips
fingropafo	paf.fingro0o.MOV	fr		chiquenaude
fingropafo	paf.fingro0o.MOV	fr		pichenette
forpafi	paf.for0i	de		wegschießen
forpafi	paf.for0i	de		abschießen
forpafi	paf.for0i	de		umschießen
forpafi	paf.for0i	de		verscheuchen
forpafi	paf.for0i	en		shoot away
forpafi	paf.for0i	fr		effaroucher
forpafiĝi	paf.for0igxi	de		davonschießen
sin forpafi	paf.for0igxi	de		davonschießen
forpafiĝi	paf.for0igxi	de		davonsausen
sin forpafi	paf.for0igxi	de		davonsausen
forpafiĝi	paf.for0igxi	de		davoneilen
sin forpafi	paf.for0igxi	de		davoneilen
forpafiĝi	paf.for0igxi	de	sich verpissen	verpissen
sin forpafi	paf.for0igxi	de	sich verpissen	verpissen
forpafiĝi	paf.for0igxi	fr	se tirer (s'en aller)	se tirer
sin forpafi	paf.for0igxi	fr	se tirer (s'en aller)	se tirer
forpafiĝi	paf.for0igxi	fr	filer (s'en aller)	filer
sin forpafi	paf.for0igxi	fr	filer (s'en aller)	filer
maŝinpafilo	paf.masxin0ilo	de		Maschinengewehr
maŝinpafilo	paf.masxin0ilo	en		machine gun
maŝinpafilo	paf.masxin0ilo	en		automatic rifle
maŝinpafilo	paf.masxin0ilo	fr		arme automatique à rafale
maŝinpafilo	paf.masxin0ilo	fr		pistolet mitrailleur
maŝinpafilo	paf.masxin0ilo.ARM	de		Maschinengewehr
maŝinpafilo	paf.masxin0ilo.ARM	en		machine gun
maŝinpafilo	paf.masxin0ilo.ARM	en		automatic rifle
maŝinpafilo	paf.masxin0ilo.ARM	fr		arme automatique à rafale
maŝinpafilo	paf.masxin0ilo.ARM	fr		pistolet mitrailleur
mortpafi	paf.mort0i	de		totschießen
mortpafi	paf.mort0i	en		shoot to death
mortpafi	paf.mort0i	fr	abattre (tuer qn)	abattre
mortpafi	paf.mort0i	fr		fusiller
mortpafi	paf.mort0i	fr		flinguer
mortpafi	paf.mort0i.KOMUNE	de		totschießen
mortpafi	paf.mort0i.KOMUNE	en		shoot to death
mortpafi	paf.mort0i.KOMUNE	fr	abattre (tuer qn)	abattre
mortpafi	paf.mort0i.KOMUNE	fr		fusiller
mortpafi	paf.mort0i.KOMUNE	fr		flinguer
pulvopafilo	paf.pulvo0ilo	de		Feuerwaffe
pulvopafilo	paf.pulvo0ilo.ARM	en		firearm
pulvopafilo	paf.pulvo0ilo.ARM	fr		arme à feu
pulvopafilo	paf.pulvo0ilo.ARM	de		Feuerwaffe
sagpafo	paf.sag0o	fr		portée de flèche
sagpafo	paf.sag0o.MEZ	de	Pfeilwurf (Entfernung)	Pfeilwurf
sagpafo	paf.sag0o.MEZ	de	Steinwurf (Entfernung)	Steinwurf
sagpafo	paf.sag0o.MEZ	de		Wurfreichweite
sagpafo	paf.sag0o.MEZ	fr		portée de flèche
ŝrotpafilo	paf.sxrot0ilo	de		Schrotflinte
ŝrotpafilo	paf.sxrot0ilo	fr		fusil de chasse
ŝrotpafilo	paf.sxrot0ilo.ARM	de		Schrotflinte
ŝrotpafilo	paf.sxrot0ilo.ARM	fr		fusil de chasse
Pafoso	pafos.0o	de		Paphos
Pafoso	pafos.0o	en		Paphos
Pafoso	pafos.0o	fr	Paphos (ville)	Paphos
pagejo	pag.0ejo	fr	caisse (endroit où on paie)	caisse
pagejo	pag.0ejo	fr		péage
pagejo	pag.0ejo.EKON	de		Kasse
pagejo	pag.0ejo.EKON	de	Schalter (Kasse)	Schalter
pagejo	pag.0ejo.EKON	fr	caisse (endroit où on paie)	caisse
pagejo	pag.0ejo.EKON	fr		péage
pagenda	pag.0enda	de	zu bezahlen	bezahlen
pagi	pag.0i	en		pay
pagi	pag.0i	fr		payer
pagi	pag.0i.EKON	de		bezahlen
pagi	pag.0i.EKON	de		zahlen
pagi	pag.0i.EKON	de		begleichen
pagi	pag.0i.EKON	en		pay
pagi	pag.0i.EKON	fr		payer
pagi	pag.0i.FIG	en		pay
pagi	pag.0i.FIG	fr		payer
pagilo	pag.0ilo	fr		moyen de paiement
pagilo	pag.0ilo.EKON	de		Zahlungsmittel
pagilo	pag.0ilo.EKON	fr		moyen de paiement
pago	pag.0o	de		Zahlung
pago	pag.0o	de		Bezahlung
pago	pag.0o	en		payment
pago	pag.0o	fr		paiement
pago	pag.0o.ago	de		Abgelten
pago	pag.0o.ago	de		Auszahlen
pago	pag.0o.ago	de		Bezahlen
pago	pag.0o.ago	de		Einzahlen
pago	pag.0o.ago	de		Vergüten
pago	pag.0o.ago	de		Zahlen
pago	pag.0o.ago	de		Zahlung
pago	pag.0o.ago	de		Bezahlung
pago	pag.0o.ago	en		payment
pago	pag.0o.ago	fr		paiement
pago	pag.0o.ajxo	de		Abgeltung
pago	pag.0o.ajxo	de		Auszahlung
pago	pag.0o.ajxo	de		Bezahlung
pago	pag.0o.ajxo	de		Einzahlung
pago	pag.0o.ajxo	de		Vergütung
pago	pag.0o.ajxo	de		Zahlung
pago	pag.0o.ajxo	de		Zahlung
pago	pag.0o.ajxo	de		Bezahlung
pago	pag.0o.ajxo	en		payment
pago	pag.0o.ajxo	fr		paiement
alpago	pag.al0o	de		Mehrzahlung
plipago	pag.al0o	de		Mehrzahlung
alpago	pag.al0o	de		Überzahlung
plipago	pag.al0o	de		Überzahlung
alpago	pag.al0o	de		Zuzahlung
plipago	pag.al0o	de		Zuzahlung
alpago	pag.al0o	de		zusätzliche Zahlung
plipago	pag.al0o	de		zusätzliche Zahlung
alpago	pag.al0o	fr	paiement en supplément	supplément
plipago	pag.al0o	fr	paiement en supplément	supplément
alpago	pag.al0o.EKON	de		Mehrzahlung
plipago	pag.al0o.EKON	de		Mehrzahlung
alpago	pag.al0o.EKON	de		Überzahlung
plipago	pag.al0o.EKON	de		Überzahlung
alpago	pag.al0o.EKON	de		Zuzahlung
plipago	pag.al0o.EKON	de		Zuzahlung
alpago	pag.al0o.EKON	de		zusätzliche Zahlung
plipago	pag.al0o.EKON	de		zusätzliche Zahlung
alpago	pag.al0o.EKON	fr	paiement en supplément	supplément
plipago	pag.al0o.EKON	fr	paiement en supplément	supplément
antaŭpagi	pag.antaux0i	de		anzahlen
antaŭpagi	pag.antaux0i	de		vorausbezahlen
antaŭpagi	pag.antaux0i	de	im Voraus bezahlen	bezahlen
antaŭpagi	pag.antaux0i	de	im Voraus leisten	Voraus
antaŭpagi	pag.antaux0i	en		prepay
antaŭpagi	pag.antaux0i	fr		payer par avance
antaŭpagi	pag.antaux0i	fr		prépayer
antaŭpagi	pag.antaux0i.EKON	de		anzahlen
antaŭpagi	pag.antaux0i.EKON	de		vorausbezahlen
antaŭpagi	pag.antaux0i.EKON	de	im Voraus bezahlen	bezahlen
antaŭpagi	pag.antaux0i.EKON	de	im Voraus leisten	Voraus
antaŭpagi	pag.antaux0i.EKON	en		prepay
antaŭpagi	pag.antaux0i.EKON	fr		payer par avance
antaŭpagi	pag.antaux0i.EKON	fr		prépayer
depago	pag.de0o	de		Abschlag
depago	pag.de0o	de		Abgabe
depago	pag.de0o	fr		contribution financière
depago	pag.de0o.EKON	de		Abschlag
depago	pag.de0o.EKON	de		Abgabe
depago	pag.de0o.EKON	fr		contribution financière
kontraŭpage	pag.kontraux0e	de	gegen Bezahlung	Bezahlung
kontraŭpage	pag.kontraux0e	de	gegen Entgelt	Entgelt
kontraŭpage	pag.kontraux0e	de		kostenpflichtig
pripagi	pag.pri0i	de		bezahlen
pripagi	pag.pri0i.KOMUNE	de		bezahlen
punpagi	pag.pun0i	de		büßen
punpagi	pag.pun0i	fr		expier
punpago	pag.pun0o	NULL	NULL	NULL
punpago	pag.pun0o.ago	fr		expiation
punpago	pag.pun0o.monpuno	de		Bußgeld
punpago	pag.pun0o.monpuno	fr	amende (paiement)	amende
repagi	pag.re0i	NULL	NULL	NULL
repagi	pag.re0i.FIG	fr	rendre (le mal pour le mal etc.)	rendre
repagi	pag.re0i.redoni_0on	de		zurückzahlen
repagi	pag.re0i.redoni_0on	de		tilgen
repagi	pag.re0i.redoni_0on	fr		rembourser
senpaga	pag.sen0a	de		kostenlos
senpaga	pag.sen0a	fr		gratuit
senpaga	pag.sen0a.EKON	de		kostenlos
senpaga	pag.sen0a.EKON	fr		gratuit
transpago	pag.trans0o	NULL	NULL	NULL
transpago	pag.trans0o.EKON	de		Überweisung
transpago	pag.trans0o.EKON	de		Geldtransfer
pagajo	pagaj.0o	de		Stechpaddel
pagajo	pagaj.0o	de		Paddel
pagajo	pagaj.0o	en		paddle
pagajo	pagaj.0o	fr		pagaie
pagajo	pagaj.0o.SPO	de		Stechpaddel
pagajo	pagaj.0o.SPO	de		Paddel
pagajo	pagaj.0o.SPO	en		paddle
pagajo	pagaj.0o.SPO	fr		pagaie
paganismo	pagan.0ismo	de		Paganismus
paganismo	pagan.0ismo	de		Heidentum
paganismo	pagan.0ismo	en		paganism
paganismo	pagan.0ismo	fr		paganisme
