rabaĵo;rab.0ajxo;贓[zāng],赃[zāng]
radiuso;radius.0o.ANA;桡[ráo],橈[ráo]
radiuso;radius.0o.cirklo;半径[bàn jìng],半徑[bàn jìng]
konverĝoradiuso;radius.konvergxo0o;收敛半径[shōu liàn bàn jìng],收斂半徑[shōu liàn bàn jìng]
radono;radon.0o;氡[dōng]
Rafaelo;rafael.0o;拉斐尔[lā fěi ěr],拉斐爾[lā fěi ěr]
rafaneto;rafan.0eto;萝[luó],蘿[luó]
rafano;rafan.0o;莱菔[lái fú],萊菔[lái fú]
rafano;;萝卜[luó bo],蘿蔔[luó bo]
rafinejo;rafin.0ejo;炼油厂[liàn yóu chǎng],煉油廠[liàn yóu chǎng]
rafini;rafin.0i;炼[liàn],鍊[liàn]
rafini;rafin.0i;炼制[liàn zhì],煉制[liàn zhì]
rafini;rafin.0i;炼化[liàn huà],煉化[liàn huà]
rafinita;rafin.0ita;精制[jīng zhì],精製[jīng zhì]
rafinita;rafin.0ita;精炼[jīng liàn],精煉[jīng liàn]
rafinita;rafin.0ita;儒雅[rú yǎ]
rafinita;rafin.0ita;娴[xián],嫻[xián]
rafinita;rafin.0ita;典雅[diǎn yǎ]
rafinita;rafin.0ita;彬彬[bīn bīn]
Raĥelo;rahxel.0o;蕾切尔[lěi qiē ěr]
rajo;raj.0o;鰩[yáo],鳐[yáo]
rajdanto;rajd.0anto;騎馬者[qí mǎ zhě],骑马者[qí mǎ zhě]
rajdanto;rajd.0anto;女騎士[nǚ qí shì],女骑士[nǚ qí shì]
rajdanto;rajd.0anto;騎師[qí shī],骑师[qí shī]
rajdanto;rajd.0anto;騎手[qí shǒu],骑手[qí shǒu]
rajde;rajd.0e;馬背[mǎ bèi],马背[mǎ bèi]
rajde;rajd.0e;跨着[kuà zhuó],跨著[kuà zhuó]
rajdi;rajd.0i;騎[qí],骑[qí]
rajdi;rajd.0i;騎坐[qí zuò],骑坐[qí zuò]
rajdi;rajd.0i;騎馬[qí mǎ],骑马[qí mǎ]
rajdi;rajd.0i;騎在馬背上[qí zài mǎ bèi shàng],骑在马背上[qí zài mǎ bèi shàng]
rajedoj;rajed.0oj;魟科[gōng kē]
Rajmundo;rajmund.0o;雷蒙德[Léi méng dé]
rajono;rajon.0o;人造丝[rén zào sī],人造絲[rén zào sī]
rajono;rajon.0o;嫘縈[léi yíng],嫘萦[léi yíng]
rajpi;rajp.0i.TEK;摩擦[mó cā]
rajpi;rajp.0i.TEK;挼[ruó]
rajte;rajt.0e;法律上[fǎ lǜ shàng]
rajti;rajt.0i;有权[yǒu quán],有權[yǒu quán]
rajtigi;rajt.0igi;准許[zhǔn xǔ],准许[zhǔn xǔ]
rajtigi;rajt.0igi;許可[xǔ kě],许可[xǔ kě]
rajtigi;rajt.0igi;授权[shòu quán],授權[shòu quán]
rajtigilo;rajt.0igilo;執照[zhí zhào],执照[zhí zhào]
rajtigilo;rajt.0igilo;許可[xǔ kě],许可[xǔ kě]
rajtigilo;rajt.0igilo;許可證[xǔ kě zhèng],许可证[xǔ kě zhèng]
rajtigilo;rajt.0igilo;国书[guó shū],國書[guó shū]
rajto;rajt.0o;权[quán],權[quán]
rajto;rajt.0o;法学[fǎ xué],法學[fǎ xué]
rajto;rajt.0o;权利[quán lì],權利[quán lì]
kopirajto;rajt.auxtor0o;版权[bǎn quán],版權[bǎn quán]
kopirajto;rajt.auxtor0o;著作权[zhù zuò quán],著作權[zhù zuò quán]
kopirajto;rajt.auxtor0o;作者权[zuò zhě quán],作者權[zuò zhě quán]
kopirajto;rajt.auxtor0o;名称权[míng chēng quán],名稱權[míng chēng quán]
kopirajto;rajt.auxtor0o;版权[bǎn quán]
aŭtorrajto;rajt.auxtor0o;著作权[zhù zuò quán],著作權[zhù zuò quán]
aŭtorrajto;rajt.auxtor0o;版权[bǎn quán]
rifuĝrajto;rajt.azil0o;庇护法[bì hù fǎ]
rifuĝrajto;rajt.azil0o;庇护权[bì hù quán],庇護權[bì hù quán]
rifuĝrajto;rajt.azil0o;避难权[bì nán quán],避難權[bì nán quán]
egalrajta;rajt.egal0a;平等[píng děng]
egalrajta;rajt.egal0a;平权[píng quán],平權[píng quán]
egalrajta;rajt.egal0a;平等的[píng děng de]
balotrajto;rajt.vocxdon0o;投票权[tóu piào quán],投票權[tóu piào quán]
balotrajto;rajt.vocxdon0o;参政权[cān zhèng quán],參政權[cān zhèng quán]
balotrajto;rajt.vocxdon0o;表决权[biǎo jué quán],表決權[biǎo jué quán]
balotrajto;rajt.vocxdon0o;选举权[xuǎn jǔ quán],選舉權[xuǎn jǔ quán]
balotrajto;rajt.vocxdon0o;选择的权利[xuǎn zé de quán lì],選擇的權利[xuǎn zé de quán lì]
rako;rak.0o;架[jià]
rakedo;raked.0o;球拍[qiú pāi]
rakedo;raked.0o;拍子[pāi zi]
raketo;raket.0o.AVI;火箭[huǒ jiàn]
raketo;raket.0o.AVI;飛彈[fēi dàn],飞弹[fēi dàn]
raketo;raket.0o.SPO;球拍[qiú pāi]
raketo;raket.0o.SPO;拍子[pāi zi]
rakito;rakit.0o;疳[gān]
rakito;rakit.0o;佝[gōu]
rakito;rakit.0o;佝偻病症[gōu lou bìng zhèng]
rakledo;rakled.0o;烤乳酪[kǎo rǔ lào]
rakontero;rakont.0ero;插曲[chā qǔ]
rakonti;rakont.0i;叙述[xù shù],敘述[xù shù]
rakonti;rakont.0i;訴說[sù shuō],诉说[sù shuō]
rakonti;rakont.0i;叙[xù],敘[xù]
rakonti;rakont.0i;叙说[xù shuō],敘說[xù shuō]
rakonti;rakont.0i;講述[jiǎng shù],讲述[jiǎng shù]
rakonti;rakont.0i;叙述性[xù shù xìng],敘述性[xù shù xìng]
rakonti;rakont.0i;記敘[jì xù],记叙[jì xù]
rakontisto;rakont.0isto;口白[kǒu bái]
rakonto;rakont.0o;記敘[jì xù],记叙[jì xù]
rakonto;rakont.0o;故事[gù shi]
rakonto;rakont.0o;叙事[xù shì],敘事[xù shì]
rakonto;rakont.0o;短篇小說[duǎn piān xiǎo shuō],短篇小说[duǎn piān xiǎo shuō]
bildrakonto;rakont.bild0o;连环图[lián huán tú],連環圖[lián huán tú]
popolrakonto;rakont.popol0o;民間故事[mín jiān gù shi],民间故事[mín jiān gù shi]
popolrakonto;rakont.popol0o;传说[chuán shuō],傳說[chuán shuō]
tio estas alia rakonto;rakont.tioestasalia0o;別論[bié lùn],别论[bié lùn]
raledoj;raled.0oj;秧雞科[yāng jī kē],秧鸡科[yāng jī kē]
ralo;;秧雞[yāng jī],秧鸡[yāng jī]
ramadano;ramadan.0o;斋戒节[Zhāi jiè jié],齋戒節[Zhāi jiè jié]
ramadano;ramadan.0o;拉馬丹[Lā mǎ dān],拉马丹[Lā mǎ dān]
ramadano;ramadan.0o;莱麦丹[Lái mài dān],萊麥丹[Lái mài dān]
Ramajano;ramajan.0o;罗摩衍那[Luó mó yǎn nà],羅摩衍那[Luó mó yǎn nà]
rambutano;;紅毛丹[hóng máo dān],红毛丹[hóng máo dān]
rampaĵo;ramp.0ajxo.BIB;爬虫[pá chóng],爬蟲[pá chóng]
rampaĵo;ramp.0ajxo.BIB;爬虫动物[pá chóng dòng wù],爬蟲動物[pá chóng dòng wù]
rampaĵo;ramp.0ajxo.BIB;爬虫类[pá chóng lèi],爬蟲類[pá chóng lèi]
rampi;ramp.0i;爬行[pá xíng]
rampi;ramp.0i;匍匐[pú fú]
rampi;ramp.0i;搲[wǎ]
rampi;ramp.0i;匍[pú]
rampi;ramp.0i;匍匐前进[pú fú qián jìn],匍匐前進[pú fú qián jìn]
rampi;ramp.0i;卑躬屈膝[bēi gōng qū xī]
rampi;ramp.0i;慢行[màn xíng]
rampuloj;ramp.0uloj;爬虫[pá chóng],爬蟲[pá chóng]
rampuloj;ramp.0uloj;爬虫类[pá chóng lèi],爬蟲類[pá chóng lèi]
rampuloj;ramp.0uloj;爬行动物[pá xíng dòng wù],爬行動物[pá xíng dòng wù]
ramplo;rampl.0o;火箭发射台[huǒ jiàn fā shè tái],火箭發射臺[huǒ jiàn fā shè tái]
ramplo;rampl.0o;舞台前沿[wǔ tái qián yán]
ramplo;rampl.0o;装卸台[zhuāng xiè tái],裝卸台[zhuāng xiè tái]
rano;ran.0o;田雞[tián jī],田鸡[tián jī]
rano;ran.0o;蛤[há]
rano;ran.0o;青蛙[qīng wā]
rano;ran.0o;蚔[qí]
rano;ran.0o;蛙[wā]
rano;ran.0o;蛤蟆[há ma]
ranca;ranc.0a;哈喇[hā la]
ranca;ranc.0a;餿[sōu],馊[sōu]
ranca;ranc.0a;饐[yì]
randa;rand.0a.punkto;边际[biān jì],邊際[biān jì]
rande de;rand.0e_de;濒于[bīn yú],瀕於[bīn yú]
randi;rand.0i.MAT;埸[yì]
rando;rand.0o.KOMUNE;湄[méi]
rando;rand.0o.KOMUNE;緣[yuán],缘[yuán]
rando;rand.0o.KOMUNE;边[biān],邊[biān]
rando;rand.0o.KOMUNE;塝[bàng]
rando;rand.0o.KOMUNE;涯[yá]
rando;rand.0o.KOMUNE;沿儿[yán r],沿兒[yán r]
rangi;rang.0i;排行[pái háng]
rango;rang.0o;品位[pǐn wèi]
rango;rang.0o;排名[pái míng]
rango;rang.0o;头衔[tóu xián],頭銜[tóu xián]
rango;rang.0o;級別[jí bié],级别[jí bié]
rango;rang.0o;军衔[jūn xián],軍銜[jūn xián]
rango;rang.0o;名次[míng cì]
rango;rang.0o;名衔[míng xián],名銜[míng xián]
rango;rang.0o;品第[pǐn dì]
rango;rang.0o;学衔[xué xián],學銜[xué xián]
rango;rang.0o;段数[duàn shù],段數[duàn shù]
rango;rang.0o;等第[děng dì]
rango;rang.0o;等級[děng jí],等级[děng jí]
rango;rang.0o;职级[zhí jí],職級[zhí jí]
altranga;rang.alt0a;高位[gāo wèi]
altranga;rang.alt0a;傑出[jié chū],杰出[jié chū]
duaranga;rang.dua0a;次要[cì yào]
duaranga;rang.dua0a;次級[cì jí],次级[cì jí]
duaranga;rang.dua0a;第二位[dì èr wèi]
laŭrange;rang.laux0e;依次[yī cì]
plirangigi;rang.pli0igi;升迁[shēng qiān],升遷[shēng qiān]
plirangigi;rang.pli0igi;提拔[tí bá]
plirangigi;rang.pli0igi;龍飛[lóng fēi],龙飞[lóng fēi]
rangaltigo;rang.pli0igo;升迁[shēng qiān],升遷[shēng qiān]
rangaltiĝi;rang.pli0igxi;升官[shēng guān]
rangaltiĝi;rang.pli0igxi;升职[shēng zhí],升職[shēng zhí]
rangaltiĝi;rang.pli0igxi;晉升[jìn shēng],晋升[jìn shēng]
rangaltiĝi;rang.pli0igxi;晉級[jìn jí],晋级[jìn jí]
egalranga;rang.sam0a;不相上下[bù xiāng shàng xià]
egalranga;rang.sam0a;同等[tóng děng]
Ranguno;rangun.0o;仰光[Yǎng guāng]
rankori;rankor.0i;怨恨[yuàn hèn]
rankori;rankor.0i;埋怨[mán yuàn]
rankoro;rankor.0o;怨气[yuàn qì],怨氣[yuàn qì]
rankoro;rankor.0o;怨恨[yuàn hèn]
rankoro;rankor.0o;恨意[hèn yì]
rankoro;rankor.0o;怨[yuàn]
ranunkolo;ranunk.0o;茛[gèn]
ranunkolacoj;ranunk1.0oj;毛茛科[máo gèn kē]
rapo;rap.0o;菔[fú]
rapo;rap.0o;菜头[cài tóu],菜頭[cài tóu]
rapida;rapid.0a;速[sù]
rapida;rapid.0a;迅[xùn]
rapida;rapid.0a;迅速[xùn sù]
rapida;rapid.0a;急驟[jí zhòu],急骤[jí zhòu]
rapida;rapid.0a;捷[jié]
rapida;rapid.0a;遫[sù]
rapida;rapid.0a;遽[jù]
rapida;rapid.0a;急速[jí sù]
rapide;;飛速[fēi sù],飞速[fēi sù]
rapideco;rapid.0eco;快[kuài]
rapideco;rapid.0eco;速[sù]
rapideco;rapid.0eco;快速[kuài sù]
rapideco;rapid.0eco;快慢[kuài màn]
rapideco;rapid.0eco;速度[sù dù]
sagrapida;rapid.0ega;凌厉[ling2lì],淩厲[ling2lì]
sagrapida;rapid.0ega.KOMUNE;倏然[shù rán]
sagrapida;rapid.0ega.KOMUNE;倏忽[shù hū]
sagrapida;rapid.0ega.KOMUNE;忽忽[hū hū]
sagrapida;rapid.0ega.KOMUNE;風馳電掣般地[fēng chí diàn chè bān dì],风驰电掣般地[fēng chí diàn chè bān dì]
sagrapida;rapid.0ega.KOMUNE;立即[lì jí]
sagrapida;rapid.0ega.KOMUNE;閃電般[shǎn diàn bān],闪电般[shǎn diàn bān]
sagrapida;rapid.0ega.KOMUNE;神速[shén sù]
rapidi;rapid.0i;赶[gǎn],趕[gǎn]
rapidi;rapid.0i;赶紧[gǎn jǐn],趕緊[gǎn jǐn]
rapidi;rapid.0i;赶赴[gǎn fù],趕赴[gǎn fù]
rapidi;rapid.0i;赶路[gǎn lù],趕路[gǎn lù]
rapidi;rapid.0i;趋[qū],趨[qū]
plirapidigi;rapid.0igi;加快[jiā kuài]
plirapidigi;rapid.0igi;加紧[jiā jǐn],加緊[jiā jǐn]
plirapidigi;rapid.0igi;提速[tí sù]
plirapidigi;rapid.0igi;驅使[qū shǐ],驱使[qū shǐ]
plirapidigi;;驅策[qū cè],驱策[qū cè]
rapido;rapid.0o;速度[sù dù]
rapidumo;rapid.0umo;排档[pái dǎng],排檔[pái dǎng]
lumrapideco;rapid.lum0o;光速[guāng sù]
malrapida;rapid.mal0a;緩[huǎn],缓[huǎn]
malrapida;rapid.mal0a;緩慢[huǎn màn],缓慢[huǎn màn]
malrapida;rapid.mal0a;徐[xú]
malrapida;rapid.mal0a;訥[nè],讷[nè]
malrapida;rapid.mal0a;縵[màn],缦[màn]
malrapida;rapid.mal0a;慢慢[màn màn]
raporti;raport.0i;匯報[huì bào],汇报[huì bào]
raporti;raport.0i;彙報[huì bào],汇报[huì bào]
raportisto;raport.0isto;記者[jì zhě],记者[jì zhě]
raportisto;raport.0isto;通訊員[tōng xùn yuán],通讯员[tōng xùn yuán]
raportisto;raport.0isto;採訪記者[cǎi fǎng jì zhě],采访记者[cǎi fǎng jì zhě]
raportisto;raport.0isto;報告者[bào gào zhě],报告者[bào gào zhě]
raporto;raport.0o;彙報[huì bào],汇报[huì bào]
raporto;raport.0o;報告[bào gào],报告[bào gào]
raporto;raport.0o;報[bào],报[bào]
raporto;raport.0o;報道[bào dào],报道[bào dào]
misraporto;raport.mis0o;假報告[jiǎ bào gào],假报告[jiǎ bào gào]
misraporto;raport.mis0o;虚假新闻[xū jiǎ xīn wén],虛假新聞[xū jiǎ xīn wén]
misraporto;raport.mis0o;虚报[xū bào],虛報[xū bào]
misraporto;raport.mis0o;誤傳[wù chuán],误传[wù chuán]
misraporto;raport.mis0o;謠言[yáo yán],谣言[yáo yán]
rapsodo;rapsod.0o;叙事诗朗诵者[xù shì shī lǎng sòng zhě],敘事詩朗誦者[xù shì shī lǎng sòng zhě]
rapsodio;rapsodi.0o;狂想曲[kuáng xiǎng qǔ]
rapsodio;rapsodi.0o;叙事诗[xù shì shī],敘事詩[xù shì shī]
rapsodio;rapsodi.0o;狂文[kuáng wén]
rara;rar.0a;罕見[hǎn jiàn],罕见[hǎn jiàn]
rara;rar.0a;稀少[xī shǎo]
rara;rar.0a;稀罕[xī han]
rara;rar.0a;罕[hǎn]
rara;rar.0a;难得一见[nán dé yī jiàn],難得一見[nán dé yī jiàn]
rara;rar.0a;难得[nán dé],難得[nán dé]
rara;rar.0a;玮[wěi],瑋[wěi]
rara;rar.0a;稀有[xī yǒu]
rara;rar.0a;名貴[míng guì],名贵[míng guì]
raraĵo;rar.0ajxo;稀罕[xī han]
raraĵo;rar.0ajxo;尤物[yóu wù]
raraĵo;rar.0ajxo;瑰宝[guī bǎo],瑰寶[guī bǎo]
rare;rar.0e;难得一见[nán dé yī jiàn],難得一見[nán dé yī jiàn]
rare;rar.0e;鮮少[xiǎn shǎo],鲜少[xiǎn shǎo]
rasismo;ras.0ismo;种族主义[zhǒng zú zhǔ yì],種族主義[zhǒng zú zhǔ yì]
raso;ras.0o;种族[zhǒng zú],種族[zhǒng zú]
raso;ras.0o;品种[pǐn zhǒng],品種[pǐn zhǒng]
raso;ras.0o;种[zhǒng],種[zhǒng]
bonrasa;ras.bon0a;良种[liáng zhǒng],良種[liáng zhǒng]
miksrasulo;ras.miks0ulo;杂种[zá zhǒng],雜種[zá zhǒng]
miksrasulo;ras.miks0ulo;混血儿[hùn xiě ér],混血兒[hùn xiě ér]
